state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,28.8805534768649,28.261569823751888,27.72583268203373,27.733122865299116,27.74037408397821,28.190555036782346,28.698398008081348,28.977695416871914,29.275662651514082,29.486660896497156,29.707061892920517,29.938239987959058,30.18074911216931,30.269381148145147,30.317821705053955,30.40872358600121,30.500410448981054,30.558607373857647,30.527745139448115,30.59438034220153,30.618677349427177,30.83467763044699,30.631405828002507,30.75228934251347,30.830133907478302,31.32426040570071,31.429530646769148,31.702829384371366,31.98701813824768,10.756250443300019,8.913267613484749,7.582842283148366,28.38708489390861,31.070520297515884,9.45301503707094
AR,36.61169475873488,36.7343917859848,36.86156414464518,36.830850885736524,36.79820897037149,36.759404960937445,36.71865837725016,36.668401939770746,36.61847738827715,36.559437607109665,36.50111198926069,36.44416048587418,36.38788781998136,36.3432374116253,36.299028726202295,36.272787314464914,36.24670923722439,36.04529071901027,35.80629981026096,35.777244828093124,29.80098543591896,30.009216386432268,29.30798304199546,33.855687758782835,33.82812919886734,35.5364689852867,32.797577008525394,32.801553265774174,32.80539348837608,-10.396408293693312,-8.352168315397066,-10.815316922702522,36.73351702352315,32.65202393980523,-11.11108713359583
AZ,36.18030500387094,30.040342177337642,30.418344640441813,27.264964059596675,30.09627514899311,35.23953520308367,35.22221532767612,35.87070755551085,35.37038409859246,35.2903316908382,35.207683207716975,35.15979817452397,34.88197972362972,34.8212264453424,34.736180616761686,34.86957574540629,34.782776945371054,34.75944830640245,34.71176359200604,34.568636142380285,34.427306563266505,34.41361060162873,34.399740256176074,34.33799281358232,33.80908067455183,33.795805114289294,33.78272301722496,33.91500215861945,33.634491581280386,-7.036462026282479,-6.613776457721244,-5.726502613367373,32.85589702390037,34.108438892299986,3.8122284942897267
CA,34.143246796441105,30.793037370554565,31.00553380550378,30.891437126447553,30.839601817917544,33.702289232878805,33.605460293925596,33.50386626283933,33.408131351044254,33.27246393468656,32.98319667954499,32.95510378329108,31.86706841796226,31.92051719918431,31.1938050243672,30.027159112981277,29.932921085883102,29.6547979464711,29.730446763691205,31.49196281374167,30.03222398597249,30.968151187990323,29.74128287097606,31.28216034649419,30.90776550682466,32.475999774026256,31.89452374256542,32.57326537803573,32.585244231496866,-4.563135352161751,-6.021357845984397,-8.04841094642228,32.432511561950285,31.395257983812364,-3.1981907295604657
CO,31.566187139354813,31.508735622661266,21.069584618243404,27.55167227677297,27.899732319603558,32.42876802360444,32.2994378114067,32.48648253936763,30.930826228963447,31.109962213555626,29.734061290363613,31.191628535542087,31.164663056895304,33.00344473802241,33.09103743936567,33.26889648993288,33.21218535031781,33.20803580740502,33.125813595667594,33.154109619156515,33.10898602169797,33.07676578489314,32.28689552199432,32.47939086232211,32.59617096942912,33.27143916288035,33.230613432044564,33.31682035849256,33.37407437059372,5.727290480974617,5.042219740720256,4.509063653180618,29.749047397775357,32.98952661035044,10.892715888500717
CT,36.18260398521981,36.12638277905618,36.06671369645588,35.99370091498798,35.922712168785665,35.858200933535365,35.79520593744072,35.7218743518403,35.64963804562818,35.62386830968743,35.59821745586149,35.57302144861414,35.54792889529328,35.52172371127667,35.495620682548406,35.475434199700814,35.45532828063774,35.4308074292822,35.40634297994402,35.38652834042026,35.366610844087774,35.34971131405014,35.33294100346265,35.285262907916426,33.607147084979886,33.613139425674674,31.815695504439255,33.09818726123519,33.11146709911076,-8.487882429256814,-8.660174683424785,-5.488645614045183,35.924114756994456,34.1966690785377,-4.80859637082753
DE,32.39766683273022,32.330906886180294,32.26489933293867,30.84766777674044,30.06106894606172,30.024736355390285,29.9893970385063,29.883097940207907,29.779200789594285,29.770664446954083,29.762189746119756,29.75273590487257,29.74333973701556,29.727514913254648,29.711756873230872,29.700047453488377,29.688413026009364,29.68269494524216,29.6770142975502,29.60224843626207,29.525277166383567,29.521220810920635,29.51718581187528,29.505524699932632,29.493915686258454,29.284072237211557,29.05908587665366,28.954659952076607,28.847274560187852,-10.958789998283265,-10.092903254839214,-9.465559124325281,30.8420713220389,29.331046523776223,-4.899232553109826
FL,34.71968184442018,34.815103615243395,34.91406213316367,34.876754268316716,34.83989004311395,34.704014124585356,34.57445106788655,34.0890311135172,32.8817244793773,32.89200135799987,32.90192059658171,33.60507862226726,33.14551214993861,33.153626856649524,32.77343168507975,33.15206121574655,32.87012775608348,33.226234885696854,32.69353505764499,33.02600351021318,32.83887376660897,33.27713073600112,32.85015784318322,33.02898288358491,32.535316110148045,32.829693559618384,32.54318820611199,32.87629338506666,32.78077917825094,-5.584448252888706,-5.779510784611247,-5.360187155172696,34.49052363218048,32.85864191787874,-4.731391531496357
GA,38.1337327148165,38.225559520715365,38.32110614904958,38.333940597408755,38.346864429847535,38.26202676621038,38.18016025128696,38.174873028424145,38.169577594553466,38.17286146579953,36.933482549980276,36.93207774699419,36.32337668256792,37.4575321982251,36.9524353078381,37.53616326769177,36.271412875397296,36.73164112070264,36.01423882370877,37.103253043180146,37.043206689109674,37.78092989221544,35.94111769797576,35.95509400215302,35.96918879090485,37.43891892620041,35.561640397083494,35.40300734486753,35.24286145714313,-7.580876698572325,-5.796991729366454,-4.693510871642886,38.23864900581252,36.34392182408335,-4.955005553258843
IA,37.49704006865335,37.49135923053407,36.9593972536647,35.64547235914508,34.6966561682742,35.02387179447357,35.012653128342265,35.00161115577408,34.99053622895244,34.97111758520034,29.21765822830991,29.5203700738416,27.883271204906833,31.534472560946668,31.653902135998486,35.15280699275134,35.15569110057842,35.07465936270115,34.99421527153891,34.92279864384493,34.84983163029766,34.74712571472441,34.64532241235162,34.59674992697519,34.54779852563307,34.53383561567636,34.38354900037504,34.27612587015886,34.162915643833166,-8.891700301452403,-8.310509661062866,-7.815109579052034,35.813177487534865,34.56660529838704,-3.480763999736439
ID,37.44052957158877,37.38130277395252,19.646937976644818,32.08778307806052,22.283742685147413,36.02126380112482,35.9929564144477,37.07066138061046,35.44493117587136,35.44099168038323,35.43710807844511,36.990572310729284,36.361054618830444,36.34485629128443,29.321862457510473,29.734876877637095,28.45770181904877,32.84201832204722,30.139586502759645,32.350564993976995,29.957202067878818,32.535386473519736,31.206512938565822,34.28641962314132,32.035143536548034,33.67477529003829,30.187204479028484,31.815789339704608,31.91992872602882,-14.74498600508359,-14.727252419803676,-14.539422617773283,32.596678761938705,31.9968927468431,-1.840021860742283
IL,29.691356015792923,29.311896196690668,28.96890468668204,29.73895303239234,29.74229414763247,29.819203974867698,29.897897639243766,29.977679294242805,29.449992241058293,29.596118297191893,29.726924650172105,30.481168786146167,30.2120945554909,30.31212398677207,30.255108691507232,30.641129125045456,30.47386318965416,30.582023273118715,30.245623940075838,30.36722399912203,29.14080310889904,29.486589476201992,28.6919326689111,29.860537131000708,29.16634440706474,30.21893225668325,30.301076889009465,31.20867660770425,31.132310697074445,4.85311172893239,2.4051180260493084,0.8961756688803604,29.622019692067,29.9574427241671,1.1323435592405957
IN,28.382670729822205,28.04278276742287,26.599513300335104,26.44275624775767,26.198819221273645,27.122434077502444,26.990005049363212,26.95210011929526,26.77818261986666,26.96804546722535,26.830646545341107,26.993060647926875,26.384403627312015,26.50934907023582,26.10598400589794,26.64757769782124,26.137686340470438,26.340957536894845,25.649958197163446,25.98764884688085,25.52523401576145,25.995887359186217,25.886618638072978,26.274839869035965,25.422149950094298,25.64169154242075,25.763071762723968,26.48550057319409,26.339597274769762,-7.198312923053251,-8.64002028746711,-8.633601713997422,27.056584903626565,25.932223983214033,-4.155590679375905
KS,36.85876208500778,36.870001544424355,36.88146024144679,36.163416880787345,35.55627005358932,35.51700886841851,35.47846955465793,35.405500022704494,32.9410627775096,33.01561735727816,30.714285608168606,32.44663936287132,32.211528334948554,35.10803006788835,35.12032114201084,35.584628946245374,32.688972524417146,32.791599603873266,32.891749584303106,35.63492346287892,35.53248095816574,35.51090552589371,33.475018840499956,33.587429310719166,33.696714202820864,35.46076550408198,35.23916963185532,35.20375972222093,35.167940827738924,-4.587298003577274,-5.168627483664366,-5.447419209819117,35.74132800317179,34.85091079868754,-2.4912818136058803
KY,24.457282240434065,24.411520678846056,24.363635141167062,24.486174970802928,24.58272367853827,24.54968204481188,24.452007568203207,24.43303836265061,24.209741935976755,24.207944009696565,24.08932155456937,24.229806691473527,24.133578295247123,24.175963107364126,24.040835383583705,24.104589878531318,23.925208502861953,24.0286970219253,23.904871027032296,24.058526350178823,23.794254975237507,23.891011435880703,23.383514312879974,23.629954112363517,23.415572137096547,23.921977438220143,23.807599328757785,24.144032688021092,24.161453696827255,-1.2095724320412415,-2.3189624140324696,-2.6024665644796983,24.438422957936762,23.820789647546338,-2.527304284132782
LA,28.805039583654857,28.599031107081984,27.817635013309044,29.091024925390908,29.097699901990758,29.809477144015396,29.051839898985527,29.010755833705616,28.42832499234283,28.8879884602812,28.135077009069185,28.680429906517084,28.126763981477932,28.834503534642426,27.70810820382995,28.188723999097697,27.94335170528598,29.064340091281515,28.01276410021258,28.215709593858378,27.93855825785416,28.84027719954697,28.809492696297927,29.205240943715864,29.262330148128246,29.362811741236023,28.850438895857216,28.949375885302864,29.049737996514242,0.8494986168956302,1.0064188556691391,0.15052141154126275,28.856758711164105,28.84839733583119,-0.028975448755716116
