state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,30.065935988345288,29.456810676964285,28.92960603815637,28.93671602945917,28.943788019266037,29.386425965169966,29.88575977362483,30.15994478048586,30.45245787120337,30.659503223408446,30.875775173606335,31.1027939511965,31.34093989198511,31.427252376023763,31.47216126916203,31.558898632378497,31.646385014987832,31.704782508692208,31.671821748445783,31.736770344404093,31.7582884534017,31.968893469708952,31.750316974348475,31.861734768401206,31.929144285038124,32.422991122855215,32.52025732035937,32.776893620262044,33.04375599550988,9.904298367158475,8.224165984448774,7.02113065065366,29.579716126963906,32.17690463542891,8.78030234406981
AR,37.84068880519457,37.96446215448508,38.09275009365831,38.06213702737345,38.02960159628464,37.99080214215278,37.95006034181145,37.89978048565631,37.84983267014044,37.79044260413117,37.73177093859342,37.674496720131664,37.617905185788885,37.572971095923165,37.52848153542907,37.50205436747047,37.475791690211736,37.27321649832043,37.032594464923356,37.00327200661223,30.959639330707038,31.169109679786246,30.459060756729567,35.0571017551736,35.02916149276745,36.75669873176917,33.98707793015187,33.99090868021862,33.99460837369121,-10.16387532294442,-8.163164733541677,-10.570697991323982,37.96445725741744,33.840663873760704,-10.86224769577349
AZ,36.96404822732704,30.75508296494322,31.129507350011572,27.942513920227807,30.803490101592267,36.01220877464031,35.99470688603065,36.663865852727746,36.16729686180383,36.08728196444653,36.00467220817309,35.957112411422834,35.676027187751195,35.61582384767965,35.530917782550624,35.668381157268456,35.58211187054324,35.559453298895306,35.51203707248653,35.36975098993486,35.22913093181771,35.21550437851608,35.20170432514113,35.14054039586361,34.60435718017822,34.591499685964465,34.57882956252092,34.721645132671874,34.44363010689465,-6.818566259117347,-6.428018595442765,-5.557802937985315,33.603635659922716,34.90965926895035,3.8865544854875793
CA,34.44493499956406,31.078174020752495,31.28779243455162,31.17403123489218,31.12276139994905,33.999798342945006,33.902770410440894,33.80081490367289,33.704739363180025,33.56878584878094,33.278359615535216,33.25042828924228,32.15693959658999,32.21096088915425,31.480566392660236,30.30881424133763,30.213781151179,29.93432293401666,30.009880955786873,31.779453531814156,30.311882065848582,31.2520123712624,30.018768944899193,31.567633821386377,31.191152845784526,32.76763226942391,32.18319206592638,32.86536541473058,32.877388623857904,-4.550876277531074,-6.003752817781702,-8.022911943673677,32.72397967888313,31.681448195493402,-3.1858334274131153
CO,32.49015450063635,32.43146557509017,21.73777218364059,28.333809409810268,28.67564642999339,33.32678384933851,33.19380500276504,33.36840362160245,31.756406317223934,31.937663724704603,30.526568727035226,32.01178875259265,31.977295515076054,33.850882500716,33.933144177920234,34.114634908785355,34.056405417908394,34.05072179907637,33.96518504171143,33.99185534894575,33.94352630033609,33.91358956050421,33.10933225032887,33.299468514818926,33.41219856159804,34.101351599819644,34.05943228417757,34.14506426908906,34.201106694818364,5.266063582887853,4.5973194163632485,4.08597022147525,30.590471876677853,33.81769253844365,10.549757698331646
CT,37.31803078856716,37.266674207585716,37.21216808290863,37.138667141361964,37.067203767687005,37.00232121435266,36.93896362744475,36.865929486502026,36.793986182318946,36.76185720319898,36.72987644294292,36.698451794109815,36.66715617378818,36.63403353836108,36.60104002442274,36.581671338990716,36.562379953532734,36.52688349263152,36.49146867946656,36.46027436211286,36.428918116608536,36.412192326723094,36.39559442781257,36.33679307003411,34.61788052299913,34.62774738455322,32.80050645703187,34.1060686813945,34.11878278073321,-8.572928260764698,-8.745996383669535,-5.593958018294984,37.06710494430321,35.23047581300031,-4.954876120114065
DE,34.68275543727869,34.61669191808283,34.55137294336808,33.148623445757224,32.37006251848308,32.333991470833084,32.29890654681076,32.19342350359651,32.09032396838455,32.081849657070364,32.073436539627444,32.06401869101633,32.054658296221405,32.03878679486159,32.022982274227154,32.01129792337173,31.999688404227637,31.994038798198776,31.988426176979363,31.914259707763616,31.837905510545966,31.833896022940383,31.829907644996496,31.818344190937033,31.80683239884058,31.599077121757123,31.37632962170408,31.272911975166274,31.166563436269872,-10.13815643156613,-9.337241190041965,-8.756953234811533,33.142905750288314,31.645602763092143,-4.5177179046322635
FL,35.33855226775471,35.42649717167283,35.517701697383224,35.47729780359516,35.43737436531257,35.29985902004661,35.16873270518089,34.67769160587025,33.44997879184161,33.45589437961284,33.46160410224456,34.17644425796886,33.70689188247418,33.712940183832764,33.32368246367036,33.70685217506055,33.41765832857454,33.776020795787666,33.23039194732074,33.56359857958692,33.36860961362195,33.81329098453629,33.37893254163609,33.56126998701453,33.06040856631566,33.3595740882285,33.06852495144257,33.40706630495599,33.31016392668232,-5.739873907973376,-5.93517437935202,-5.516378539172337,35.08818726985087,33.38914395440209,-4.8422088675657164
GA,38.77214362312416,38.86417966707002,38.959944009498855,38.97278356574894,38.985712541651985,38.90080003113712,38.818861290591634,38.813581485051124,38.808293480021774,38.81156726605424,37.56717198332938,37.56574065410134,36.954568271360024,38.093275008417635,37.586130223128855,38.17260800886278,36.90310757415703,37.36520196180417,36.644875740898684,37.738655346530614,37.67869113142701,38.41983988204497,36.57279686920461,36.58649373642063,36.60030671927531,38.07753179876737,36.19363602516891,36.035091607718996,35.87503520004364,-7.47213889239967,-5.71498799361656,-4.627899372563419,38.877366632655075,36.97780783166021,-4.886027438389647
IA,38.385330585602944,38.379638625601125,37.84182889753416,36.53013161183969,35.58292402990001,35.91442914267461,35.90324714186818,35.892212023379464,35.88114397109299,35.861765858990374,30.011718706711903,30.317567502527716,28.65167322637895,32.36221577581492,32.48265644554143,36.03881048581336,36.041642107074985,35.96061072508975,35.88016698723857,35.808992984350255,35.7362738627583,35.63340763479471,35.531445428909336,35.48302267755011,35.43422217830645,35.42019799068749,35.26819027678388,35.16080534972586,35.047635384637886,-8.695236305238225,-8.12581343442828,-7.640708479016084,36.70120955883257,35.45241937685043,-3.4025859011003803
