state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,31.25131849982567,30.65205153017667,30.133379394279025,30.140309193619235,30.147201954553864,30.58229689355757,31.073121539168312,31.342194144099793,31.62925309089266,31.83234555031973,32.044488454292164,32.26734791443395,32.5011306718009,32.585123603902375,32.62650083327012,32.709073678755786,32.79235958099463,32.85095764352676,32.81589835744345,32.87916034660666,32.89789955737623,33.10310930897092,32.86922812069443,32.97118019428895,33.02815466259794,33.52172184000971,33.610983993949596,33.85095785615272,34.10049385277209,9.116976466008353,7.587340487038858,6.502031181588677,30.7723473600192,33.283288973341925,8.159733750389961
AR,39.06968285165425,39.19453252298539,39.32393604267145,39.29342316901037,39.260994222197795,39.22219932336812,39.181462306372744,39.131159031541884,39.0811879520037,39.02144760115267,38.96242988792614,38.90483295438915,38.847922551596426,38.80270478022105,38.75793434465587,38.73132142047604,38.70487414319909,38.501142277630585,38.25888911958577,38.229299185131346,32.11829322549512,32.32900297314023,31.61013847146369,36.25851575156436,36.23019378666757,37.97692847825165,35.176578851778345,35.18026409466307,35.183823259006324,-9.945971681936484,-7.986051920175115,-10.341468752841436,39.195397491311745,35.029303807716175,-10.629037974468929
AZ,37.74779145078314,31.469823752548802,31.840670059581335,28.62006378085894,31.510705054191423,36.784882346196945,36.76719844438517,37.45702414994465,36.964209625015194,36.884232238054864,36.8016612086292,36.75442664832168,36.47007465187269,36.410421250016896,36.32565494833956,36.46718656913062,36.38144679571543,36.35945829138817,36.312310552967034,36.17086583748943,36.03095530036891,36.017398155403434,36.00366839410617,35.943087978144895,35.39963368580461,35.387194257639635,35.3749361078169,35.528288106724304,35.25276863250891,-6.609718667984382,-6.249974374687085,-5.39610855866421,34.35137429594507,35.71087964560071,3.957644715880022
CA,34.74662320268701,31.363310670950405,31.570051063599458,31.456625343336796,31.40592098198055,34.297307453011214,34.2000805269562,34.097763544506435,34.001347375315795,33.86510776287533,33.57352255152546,33.545752795193486,32.44681077521773,32.501404579124184,31.76732776095327,30.590469369693977,30.494641216474882,30.213847921562216,30.28931514788255,32.06694424988667,30.591540145724665,31.535873554534493,30.296255018822325,31.853107296278576,31.47454018474439,33.05926476482155,32.47186038928736,33.15746545142544,33.16953301621893,-4.538830082188028,-5.9864535015495335,-7.99785573205763,33.01544779581599,31.96763840717444,-3.1736943115893013
CO,33.41412186191789,33.35419552751909,22.40595974903778,29.115946542847542,29.45156054038322,34.224799675072575,34.08817219412338,34.25032470383728,32.58198640548442,32.76536523585357,31.319076163706832,32.83194896964321,32.7899279732568,34.69832026340957,34.77525091647481,34.960373327637825,34.900625485498985,34.89340779074773,34.80455648775528,34.82960107873498,34.77806657897421,34.75041333611528,33.93176897866344,34.11954616731573,34.228226153766975,34.93126403675896,34.888251136310544,34.97330817968556,35.028139019043,4.830344378927421,4.177023861236989,3.686275550526389,31.431896355580356,34.645858466536865,10.225161328472979
CT,38.453457591914514,38.40696563611526,38.3576224693614,38.283633367735945,38.21169536658836,38.14644149516996,38.082721317448794,38.00998462116373,37.93833431900971,37.899846096710526,37.86153543002435,37.82388213960548,37.786383452283076,37.74634336544549,37.706459366297054,37.687908478280626,37.66943162642774,37.622959555980835,37.576594378989085,37.53402038380546,37.4912253891293,37.474673339396034,37.45824785216249,37.3883232321518,35.62861396101838,35.64235534343177,33.7853174096245,35.11395010155381,35.12609846235566,-8.6529517446007,-8.82674991762346,-5.693051240499898,38.21009513161196,36.264282547462926,-5.0924044482140545
DE,36.96784404182716,36.902476949985335,36.83784655379751,35.449579114774025,34.679056090904446,34.64324658627586,34.60841605511523,34.50374906698513,34.40144714717482,34.393034867186635,34.384683333135165,34.37530147716007,34.36597685542724,34.35005867646852,34.33420767522344,34.3225483932551,34.31096378244592,34.30538265115539,34.299838056408525,34.22627097926515,34.15053385470836,34.14657123496013,34.14262947811772,34.13116368194141,34.119749111422706,33.9140820063027,33.69357336675452,33.59116399825595,33.4858523123519,-9.41897429976055,-8.674998409918373,-8.13594927531092,35.44374017853772,33.960159002408055,-4.185735389822156
FL,35.95742269108924,36.037890728102255,36.12134126160279,36.077841338873604,36.034858687511196,35.89570391550787,35.763014342475245,35.266352098223315,34.01823310430592,34.01978740122583,34.02128760790741,34.74780989367045,34.26827161500976,34.272253511016004,33.873933242260975,34.261643134374545,33.965188901065595,34.32580670587848,33.767248836996494,34.10119364896066,33.898345460634935,34.349451233071456,33.90770724008897,34.09355709044415,33.585501022483264,33.88945461683861,33.59386169677314,33.93783922484531,33.83954867511371,-5.889949438729843,-6.085479659310238,-5.667193440615563,35.68585090752127,33.91964599092542,-4.949314284736872
GA,39.41055453143182,39.502799813424666,39.59878186994814,39.61162653408915,39.624560653456435,39.53957329606385,39.457562329896305,39.45228994167811,39.44700936549011,39.45027306630895,38.2008614166785,38.19940356120849,37.58575986015211,38.729017818610174,38.21982513841961,38.809052750033786,37.534802272916785,37.99876280290568,37.27551265808861,38.37405764988108,38.31417557374434,39.05874987187449,37.204476040433434,37.21789347068826,37.231424647645774,38.716144671334334,36.82563165325433,36.66717587057046,36.507208942944146,-7.366923970004322,-5.635641012131984,-4.564413552618433,39.51608425949761,37.61169383923707,-4.819279176941279
IA,39.273621102552546,39.26791802066818,38.7242605414036,37.4147908645343,36.4691918915258,36.80498649087564,36.7938411553941,36.782812890984864,36.77175171323353,36.75241413278041,30.805779185113906,31.114764931213827,29.420075247851063,33.18995899068318,33.311410755084374,36.92481397887536,36.92759311357156,36.84656208747834,36.766118702938236,36.695187324855574,36.62271609521894,36.51968955486502,36.41756844546705,36.369295428125035,36.32064583097983,36.306560365698616,36.15283155319273,36.04548482929288,35.93235512544261,-8.507659551904098,-7.949472123995946,-7.474196584964076,37.58924163013029,36.33823345531383,-3.3281016603795734
