state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,28.8805534768649,28.261569823751888,27.72583268203373,27.733122865299116,27.74037408397821,28.190555036782346,28.698398008081348,28.977695416871917,29.275662651514082,29.486660896497156,29.707061892920517,29.938239987959058,30.180749112169302,30.269381148145154,30.317821705053955,30.40872358600122,30.500410448981054,30.558607373857654,30.527745139448115,30.59438034220152,30.618677349427177,30.83467763044699,30.6314058280025,30.75228934251348,30.830133907478302,31.32426040570071,31.429530646769148,31.702829384371366,31.98701813824768,10.756250443300019,8.913267613484749,7.582842283148366,28.38708489390861,31.070520297515884,9.45301503707094
AR,36.61169475873488,36.7343917859848,36.86156414464518,36.83085088573654,36.79820897037149,36.759404960937445,36.71865837725015,36.668401939770746,36.61847738827715,36.559437607109665,36.50111198926069,36.44416048587418,36.38788781998136,36.3432374116253,36.299028726202295,36.272787314464914,36.24670923722439,36.04529071901027,35.80629981026097,35.777244828093124,29.80098543591896,30.009216386432268,29.304878018338293,33.85035699721373,33.822894742027955,35.53645313135013,32.7355926820245,32.74081614643908,32.74586038067081,-10.559015100336893,-8.45459726087627,-10.868835518559564,36.73351702352315,32.63242987485089,-11.164428241504979
AZ,36.171124346584016,30.067116569181735,28.81121633266864,26.160463123752653,28.600498557647786,35.244559466925,35.22727776400939,35.869536904425914,35.36946283131693,35.29248676270464,35.2125400253553,35.16475807381052,34.69772023056641,34.64021118858957,34.54248355737637,34.85876348938146,34.772020097695275,34.76455013713722,34.71665304486516,34.574102664380206,34.42867504250359,34.415115453534334,34.401384788222295,34.344509649085396,33.439296809593486,33.428679885994754,33.41817489412146,33.92625793770493,33.6473760591916,-6.977245891530487,-7.1857518288845625,-5.995851849586302,32.391250655168,34.0023573184332,4.973894587821803
CA,34.1128991494392,31.10793806600879,30.834478931138037,30.74181959738798,30.704768155300904,33.731241248391406,33.646875168885906,33.55766260903443,33.47301681844551,33.34930438988072,32.913037127612505,32.89401494978164,31.235054321936996,31.42725417129534,30.32818053602295,29.813280963091376,29.604722420233564,29.68498489902546,29.741426245394507,31.611076609214926,28.966735241756226,29.74808688394679,27.8894822796957,30.339114338664597,29.672149563421417,32.16556512817722,31.14912657383754,32.20561851324,32.225832326139944,-5.531827755338341,-7.707467831913078,-10.305838821346725,32.434522193781355,30.59727874580944,-5.6644689784398
CO,31.779845310171755,31.72537545359916,20.285108876636862,25.138784274928682,25.514324067855775,32.700835431485,32.47042493157632,32.667604853271364,29.883236784181406,30.159960517863738,28.01493816896461,30.214965734291166,30.111685784034805,33.126913443413216,33.20900640521134,33.556352288699465,33.499790847748294,33.493942872267155,33.41427559334776,33.44381806899482,33.40385692687911,33.36945836306802,32.10961837499046,32.29549509949472,32.41314087255675,33.55899092873878,33.518175893661095,33.601588682933745,33.65763423865087,5.908741562936726,4.940429375324769,4.271047960043546,29.129504442634033,33.13717774499684,13.758123864603618
CT,36.16295511693372,36.1073813962953,36.04847564346364,35.977322192127176,35.90809836334344,35.8451429110254,35.78363571295823,35.71193496352719,35.64128272850473,35.616069864914444,35.590970891828924,35.56631321879942,35.54175468904834,35.51610389217616,35.4905510230045,35.470790814580866,35.451107845327215,35.42709593913417,35.403138129939656,35.38682254754234,35.370329508348,35.35366842596292,35.33713284344337,35.29014697168836,33.63031854361774,33.63601048149148,31.857780112863843,33.130322572728325,33.14306312611361,-8.350788758980627,-8.526560231596932,-5.39058712776739,35.90958100313098,34.21355951338,-4.723033358710325
DE,32.39573583057794,32.32914734944903,32.263307534578225,30.848951648415785,30.06311268295505,30.0267994119488,29.991477603543014,29.885290573147643,29.78149992712766,29.772966008061776,29.76449363601672,29.7550445746127,29.745653085587133,29.729843059817064,29.714099672517836,29.702397223192584,29.690769629057566,29.685050847673295,29.67936945808145,29.604730719438955,29.527893098995346,29.52383495054817,29.519798141151167,29.508145786198124,29.496545425363745,29.28706466667045,29.06248741208699,28.9582507378576,28.851064027535532,-10.941785121289442,-10.077416959282672,-9.451102916771475,30.842813617971462,29.333981496584606,-4.892005444366106
FL,34.68909467687531,34.78138349502144,34.876998365465326,34.84093158619401,34.80528196780606,34.67383446013277,34.5483347226355,34.07670683850987,32.895931557595596,32.905754536713154,32.91524245262987,33.60442064896868,33.153960955761704,33.16160318748507,32.78752844586503,33.159688536440555,32.882430566373856,33.232402072441644,32.70815676831527,33.03535171964669,32.85115336603649,33.28220919659988,32.86189685622774,33.03633894090774,32.42392044484699,32.71196522914903,32.43479446541579,32.885048118712774,32.790249687075004,-5.4738960687438265,-5.880519819951473,-5.355579013285549,34.46538863002621,32.83129280246182,-4.741266216684323
GA,38.00413373318804,38.08996374689579,38.17913468265875,38.19099219834837,38.20292904319382,38.12384028597896,38.04741596798836,38.04223096627119,38.03703821908938,38.039924779325105,36.853108802467126,36.85238694454965,36.267690325454694,37.35743443958997,36.87303953776627,37.43380219701506,36.2187023965033,36.662148333135775,35.971170590226926,37.020727845265164,36.963851165638744,37.67225251552463,35.90126514972655,35.91463129109128,35.92810710274698,37.345504277609365,35.53564420945556,35.38164929557484,35.226230029552966,-7.309477761386802,-5.5802002095054775,-4.513054966627578,38.10196431595696,36.28898628821861,-4.75822719454672
IA,37.411277303733556,37.40571101969549,36.738536821120555,35.57055357262122,34.70271770851076,35.137468371661754,35.12717331441738,35.11795229694782,35.10871645385934,35.09034135023656,26.24866119991306,26.653448553574442,24.544289172640692,29.486307813319947,29.675795091258543,35.28262214634587,35.28568755527659,35.209862676856964,35.134369693976815,35.0661826211648,34.99624541830625,34.901403840629655,34.80732094855934,34.76050141731506,34.713201476469706,34.70156452341518,34.563299321475796,34.461257779504,34.35338349589037,-8.17372201172617,-7.625337037337275,-7.16051793076096,35.813345206951986,34.73243608427301,-3.0181741371346504
