state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,30.065935988345288,29.456810676964285,28.92960603815637,28.93671602945917,28.94378801926604,29.38642596516996,29.88575977362483,30.15994478048586,30.45245787120337,30.659503223408453,30.875775173606335,31.1027939511965,31.340939891985105,31.427252376023763,31.47216126916203,31.558898632378497,31.646385014987832,31.704782508692215,31.671821748445783,31.736770344404093,31.75828845340171,31.968893469708952,31.75031697434847,31.861734768401213,31.92914428503812,32.422991122855215,32.52025732035937,32.776893620262044,33.04375599550988,9.904298367158475,8.224165984448774,7.02113065065366,29.579716126963906,32.17690463542891,8.78030234406981
AR,37.84068880519457,37.96446215448508,38.09275009365831,38.06213702737345,38.029601596284635,37.99080214215278,37.95006034181144,37.89978048565631,37.84983267014044,37.79044260413117,37.73177093859342,37.674496720131664,37.61790518578889,37.572971095923165,37.52848153542907,37.50205436747047,37.475791690211736,37.27321649832043,37.03259446492336,37.00327200661223,30.959639330707034,31.169109679786246,30.45592019361887,35.051710274966574,35.0238673828839,36.756682601444126,33.92438772755295,33.92947979676753,33.9343971442986,-10.322993011585282,-8.26339576085067,-10.623068232254127,37.96445725741744,33.8208466138638,-10.914447203756794
AZ,36.955292246676976,30.78235855287521,29.50593219538396,26.826803596118044,29.292458485410517,36.01730679966868,35.99984344733705,36.662856868775066,36.16662492625029,36.08956743500762,36.009536132756985,35.962078548832906,35.48952641231018,35.43258669095647,35.33482838618119,35.65748446719594,35.57137873649374,35.56476937450019,35.517137174226235,35.37541623844838,35.23063112339732,35.21714121214699,35.20348110365201,35.14724058853734,34.230065883633294,34.219777754433466,34.20959809055714,34.73287635712306,34.45647943882832,-6.761718433097627,-6.996380178794041,-5.826016618214808,33.13438634649953,34.80227077907573,5.033696460029361
CA,34.41295835297332,31.39329190806271,31.115515318340346,31.02314838774306,30.986603362751296,34.02758119887963,33.94306323523412,33.85355663635013,33.76863185851531,33.64467144959887,33.20669251635119,33.18784248844807,31.52135660976345,31.71460963995386,30.610516309471457,30.092965855588478,29.88321673044416,29.963392236554537,30.019615749826645,31.897651120038002,29.241150062093197,30.026025906320232,28.158901307629485,30.619567573850127,29.949449183850245,32.454324611842,31.433328536136496,32.494588261020695,32.51486114696953,-5.515646712308282,-7.682129440583566,-10.2693106060525,32.724927806538886,30.878984770975002,-5.64078566185573
CO,32.695146751636464,32.63947194530612,20.937404237383298,25.87340193364102,26.24407116206483,33.58691704288458,33.35101391104737,33.536413956926246,30.679943215343503,30.9599862593107,28.771015364938968,31.007593263851195,30.896371171293797,33.961567414378536,34.03875565031635,34.39215524224416,34.334336013211,34.32713650521687,34.2445247749388,34.272472487222814,34.22951163341044,34.19736012953106,32.917371970786704,33.100853447950314,33.214673152425775,34.38022884978925,34.3384981644973,34.421303017535884,34.47617206560417,5.447369077426018,4.499225250488848,3.8528584985655385,29.94930935069261,33.95484449187536,13.374382341441617
CT,37.29726673475365,37.24641967170887,37.19252397256323,37.120912444004766,37.05124296067315,36.98793984016684,36.92609297181965,36.854692976234894,36.784337096991116,36.7529006718785,36.7216062500854,36.690851469076485,36.66022034652526,36.62779678083149,36.59549699941025,36.57653864826854,36.557654401978105,36.5228931309408,36.488210174403534,36.46066125573852,36.43281270064321,36.41632209739011,36.399955709865786,36.34201202554852,34.64184684120385,34.65135240381992,32.84360369327598,34.13904883012503,34.15122101539099,-8.435057029074926,-8.61149478011933,-5.494727246444143,37.0512698521018,35.24788365730019,-4.867272301327901
DE,34.680603097336245,34.614710620051255,34.549558983728105,33.14972388106618,32.371952897359805,32.33590294922576,32.30083727417792,32.19546696627064,32.092474611288104,32.08400318288511,32.07559285081737,32.06618018801484,32.05682487581698,32.04096854047285,32.02517903879212,32.013502095894786,32.00189984503478,31.996249930339467,31.99063695715727,31.916594769665984,31.84037127496681,31.83636033127481,31.83237047841517,31.820815993369134,31.80931306573523,31.601912595270033,31.37956554751762,31.27633347151556,31.170179790882724,-10.122151845517209,-9.322623929225585,-8.74327749423665,33.14347014227822,31.64838173186131,-4.510959184414901
FL,35.30505353175053,35.39001700801773,35.47804253417506,35.438979924377215,35.40036912627809,35.26738144671815,35.14041122742252,34.66348127428702,33.46298472927585,33.46855527157588,33.47393580189368,34.174502429369916,33.71432183996698,33.71997530782782,33.337065934387184,33.71366466087168,33.42930062156189,33.7814772972791,33.2445635337134,33.57247165100835,33.38055543238572,33.817917199052175,33.390363088559994,33.56832182077636,32.947537947197645,33.240250056822724,32.95865061260479,33.415589300028145,33.31942376976313,-5.624208330973602,-6.029627437196211,-5.506139346828618,35.06074675581135,33.36110808781991,-4.847696712876569
GA,38.64338560888647,38.729432888718335,38.8188295476609,38.83069482802281,38.84263948948779,38.763464007063945,38.68695588556975,38.68177864488183,38.676593670322845,38.679472252961425,37.487768132219266,37.48701305272204,36.899890245581865,37.99408207064235,37.507684326150006,38.07112139458014,36.85136614260637,37.29663508700457,36.60278758598903,37.65699732720759,37.60018799434314,38.31193067628002,36.53387104025713,36.5469704748606,36.56017739140407,37.98486971622328,36.16849834631608,36.01459336086448,35.859264855050824,-7.2046501877811835,-5.501342186813602,-4.450048730229,38.74153050784608,36.92373611828072,-4.692107838117579
IA,38.300739246973336,38.29516885920065,37.62082356268314,36.454897064532084,35.588589408739715,36.02873672426521,36.018476431409006,36.00926799604579,36.00004475529326,35.98170499772801,27.01651868155457,27.42551498083769,25.28602213552688,30.295259322239794,30.48652994645162,36.16991063284902,36.17293248494288,36.097088870441475,36.02157723348987,35.95358705571203,35.88385180151294,35.788858071240355,35.69462424371936,35.64792642262296,35.60074944077869,35.58905940996061,35.44920628598344,35.34717799278394,35.23931771524855,-7.993113427873865,-7.455827574523795,-7.000657051884289,36.70186044990469,35.61943584395628,-2.9492363402826527
ID,39.111831043742754,39.055216215139,20.889962233592687,32.22642281700044,23.354771095870742,37.28742943896832,37.26306799274987,38.76466101427651,37.15946892124415,37.16156453680348,37.16363758410311,38.71459590729573,38.09647880333852,38.08075150367731,30.993924297755086,31.408367908551117,30.09552800393611,34.55583535879738,31.802303284558487,34.046756839451454,31.59404400493423,34.227748512754545,32.870159767458496,36.00956736507623,33.71358336820676,35.38422959564221,31.509491981340492,33.10796894940168,33.22268915365361,-15.057187896681995,-14.635567503070362,-14.17271179084213,33.901425641398276,33.56862395379197,-0.9816746089872765
IL,30.510664064727678,30.141357409120413,29.807135088952897,30.591354704497707,30.588719196372,30.66202364609237,30.737006739647406,30.812663395861872,29.709103749246868,29.8478318192537,29.97175933828325,31.296925448209905,30.677799428591275,30.774170616679385,30.717884399501084,31.434768761571302,31.261878018831133,31.36526736909569,31.01775553000154,31.139059045403663,29.001934957760007,29.337153353251367,28.646463670272865,30.619890484633505,29.077887900850875,30.04149755032781,30.134058426766007,31.987075828039586,31.911577434748718,4.591553192841147,0.3925033003701941,-1.052104925809644,30.39555866605769,30.189659865205442,-0.6773976524477376
IN,29.683880990882898,29.34323534667227,27.831215343289408,27.6886751298699,27.450101955843635,28.437156824754258,28.290722062382358,28.25484891885992,28.0729915492136,28.269799448367777,28.115853311823358,28.28451628415594,27.627724245833484,27.757686545992144,27.32182168610615,27.896404012229475,27.345296298285067,27.55744651095771,26.81017915645197,27.17973463663652,26.68822212190019,27.190629707450103,27.068858076874523,27.483708460068268,25.94033439956702,26.174455721264184,26.315496239042623,27.71989720974044,27.56742229610754,-7.129993195382383,-9.90557743659474,-9.267673269754368,28.339203124640918,26.932875886865144,-4.962479825528234
KS,37.814609373322654,37.824833400162824,37.8352443235856,37.162598696487045,36.5882634664111,36.55064326945185,36.51367829988419,36.444543714118,32.35254943831496,32.450234863909365,29.026864464421564,31.531805322773327,31.160255134582147,35.79271592582883,35.80648360593942,36.621928335025544,31.887402199040434,32.015817943276936,32.14055612340644,36.67062074315467,36.57332925369744,36.55323422956886,33.15803873119954,33.30037251803739,33.437332950610035,36.51331559054862,36.30714953817126,36.27628713822692,36.24521266713892,-4.150239106504969,-5.444323848644345,-6.11171204882983,36.565218220193145,35.50348933603536,-2.9036580002452865
KY,25.580386050651775,25.53515311401518,25.487820736874216,25.604543493000026,25.694231373188497,25.661154399098695,25.559430158329743,25.541171449909466,25.30576715279947,25.306464029719816,25.182758591952382,25.333774080290432,25.23291488800407,25.278882454468814,25.13583971409945,25.202589993424606,25.010602775728913,25.11904100591137,24.98575644957119,25.14907651009596,24.867946302767624,24.97064809357762,24.430809437153027,24.688992688137766,24.457806367038184,24.992423150852304,24.86816172042757,25.222528602264347,25.238760018600697,-1.335499907525346,-2.4411284394953157,-2.703910567224,25.55218421420745,24.888715289091508,-2.5965252893998922
LA,29.81889095336716,29.61318816390105,28.81184331311649,30.129772567723663,30.136657898301795,30.876920770516687,30.09549915830953,30.054772803173385,29.45289782733601,29.930684947805847,29.151323632023825,29.71400575942616,29.13766574651214,29.871395513819387,28.704729179133796,29.20641203535676,28.955286882320312,30.119266022539353,29.029067435069656,29.242481681525117,28.957264310563847,29.895479656005154,29.865095022219318,30.273637695919852,30.3301710692407,30.42915510517828,29.892607218018856,29.990645759791224,30.090096481786016,0.9095091056303488,1.098780548036629,0.2608160269250277,29.88782705063842,29.896663400024835,0.029565044562929188
MA,35.92818766847788,35.870903373745875,36.006456547668414,35.792071017997834,35.77165933641686,34.7215234530774,36.06805719291373,36.0369417563857,36.066161910437785,35.61897910789139,35.85598869354741,35.578571063219776,35.82793722960359,35.54041969289877,35.179440158726784,33.77951382884166,32.882306676379876,33.49614429550697,32.04906324398908,32.901758287208835,32.361681112766014,33.8185539052468,33.38892411610225,33.96583838081258,33.40362234763833,33.84773355973214,33.04610922662447,33.439931947237014,33.35884050022812,-7.151340869063702,-6.98320821338595,-7.166763750728606,35.806884695235716,33.35329933835966,-6.852272622316448
MD,32.96611329483365,32.99764093350735,33.957943465324824,33.683499265346875,33.69744256274605,32.20146726479038,33.44098235163394,33.45959107997041,33.47803540224955,32.394858101550845,32.53030937132094,32.60281692707663,32.67638492772066,32.80514733206672,32.937021133883285,32.97631668280993,33.01571217054162,33.0090746699935,33.002461576886276,32.82190277182998,32.60993271499657,32.54378953346477,29.391889943000947,29.375315401594587,29.09490001586021,31.697683390457076,31.179220681631143,31.304341222223762,31.096320528023607,-5.671862952382284,-6.34475805045021,-5.625727418755261,33.32030173560034,31.111529620308268,-6.628907903712516
ME,40.01992208046074,38.62803622854325,37.88361294195997,37.99466941271237,38.004133112166585,37.985582617604166,37.96698634225971,37.92432443505193,37.881940672188996,37.84248279307355,37.803442773931536,37.75870805858057,37.71450455695747,37.667841875675016,33.53466503100479,33.537026972106425,32.315982161002665,35.83762823423635,35.760826022356504,38.93366004813802,38.858823115641464,38.820597704849796,38.78269623677955,38.34819668996258,37.925670207666315,37.99243406377712,38.0594610818587,38.05717721978365,38.05490880913985,-4.910087699246873,-5.002488010822631,-4.089362191687201,38.254356426994185,38.3833625177597,0.3372324169450138
MI,36.58650923469213,36.582339907771264,35.84622544997434,36.881956153415864,36.92509706099412,37.74163197548562,35.67674336282957,35.63605646231039,35.344300406353405,37.32255586900001,36.798173085813666,37.04921659382185,36.61328473537562,37.04679297125137,36.21872470073747,36.560871425007804,35.61992914017423,36.36821260871695,35.58294629317665,36.46459503391973,36.19901947751674,37.06428757088601,33.78455390998463,33.979840639660054,32.56497286909034,35.24755585262107,35.24781339560669,37.23601178481619,37.03478461796024,1.2252477556482688,-3.062007155388713,-3.017958648099068,36.35787333486963,35.482343515206175,-2.408088645888327
MN,36.40672745052537,36.39386266537849,35.32399076035361,35.302133240115545,35.279395167918324,35.57056882506919,34.92729161774764,34.86608235163022,34.80410451912038,34.743486499923705,34.684053474619375,34.56562572422151,33.8792246128752,33.90817907408622,33.93673088203336,34.48070807314683,34.470870669519584,34.449794356082826,34.42861630073127,34.39430776842091,34.35981894331147,34.35125587119896,34.34269654368367,34.33721137774882,34.108785654628036,34.15556288503603,32.81443140033502,33.05558200031374,33.10264620646339,-9.075468946095299,-8.128513679763401,-6.879216454746853,35.430461844206526,33.902229865113995,-4.313327852773739
MO,38.16825205021334,38.18009259170707,38.192207157985344,38.17686544013984,38.16141236367767,38.12622396269436,38.0912094847445,38.073000303653274,38.0547394491912,38.03984139618544,29.596842720234196,29.855165663084676,29.548336634776405,36.94606316681602,35.420305264098786,36.50758571956737,28.812146555418412,29.783715565434875,30.064898861900392,38.311501978308215,35.66583822277086,35.615888712676615,27.705622258772895,28.90426159613736,29.14267027978928,37.38467959051544,34.446560848275986,34.42273559580904,34.39919028877219,-9.87486080442629,-11.027711523293178,-11.968997445889087,38.13600031155628,33.599894937182796,-11.894549342655935
MS,31.206247580563932,30.779558813110437,30.36262455187092,30.64637263601549,30.944788941298857,31.258066256742996,31.586412790319773,31.329412878149693,31.119932848355237,31.122426027659344,31.124897833691413,31.235755399639825,31.347096115991462,31.440945348918664,31.537451650629393,31.686751692088333,31.83799036861939,31.912733508438755,31.987788142024748,32.16822020930852,32.35296241121131,32.459662656320454,32.56836262379687,32.60375809415283,32.63902719358621,32.323281193984585,32.060160260496914,31.84863317561708,31.63951837890538,1.3884104367975993,2.870824047784822,3.397111544530418,31.025935255158597,32.266358619738014,3.998020863442548
MT,34.68601051593918,35.50497938297312,32.63545161490724,35.49635879506558,35.442063394575825,40.88402873911131,40.99367043821131,40.79633628643061,40.602957161310584,40.58810460323553,40.57330889597945,40.68752365307354,40.80281611413578,40.808942320263064,40.81513088484991,40.76505398171858,40.71516247031557,40.66918489244477,40.50176151821467,40.37376611087807,40.23344512882387,40.24190763664343,38.51867913423202,38.60296049414848,38.658214845951,40.11172340816671,39.91801048675607,39.971693662882686,40.00709336432088,15.340717393649285,14.55150523971875,14.35085452982186,37.44909514761386,39.66374942728032,5.913772471502753
NC,35.80152174517731,35.80417549023164,35.80686256040087,36.41051115924725,36.38962730803499,36.32637715095361,36.129345556337846,36.056768655762845,34.777027021101134,34.85835692968109,31.800693165733346,32.643125152649695,31.922583766390673,34.81760597469879,33.22060054587697,34.094004827037814,32.43561562514248,33.90050354200229,32.355542531660326,33.9159240289829,32.58477679626077,34.07675296551865,31.441460776735635,32.604414178093855,31.812806516626157,34.53586638521108,33.02510094173949,34.1080404808953,34.13990207031794,-4.641198457110846,-6.360563337020935,-7.198066186910836,35.94469073858305,33.22450451403817,-7.567699620308659
ND,29.924407926846374,30.336208692379017,26.81280133768401,27.012729715791263,27.210048568626107,30.943293445528614,30.622210287329843,30.725363452247343,30.829770060725004,30.978918622578494,24.148013252498835,24.743023601187108,25.099853308368058,32.1310852755785,32.356741717445445,33.16013195984717,28.539700694821025,29.055858197693784,29.547401451656103,34.49751402550485,34.710816764972726,34.90933832568409,35.112118359630514,34.921611872867985,34.72344880644056,34.705238793199584,34.68710068893042,34.62454050206731,34.55809827685997,15.484651730925407,15.824130917574436,16.109173242638164,29.379648165239725,34.744982641615806,18.262078722658188
NE,36.21344352220072,34.55731101225608,33.324655324707706,33.30352204206475,33.28215533054809,33.277716588946376,33.27327148758257,32.51321483084652,27.675318134439326,27.834816160705543,27.422863389877328,31.20872513093438,30.870310716695542,31.775873818150043,30.524193747429457,30.88056323994387,30.896287912997433,32.19062328944782,26.63525224968888,26.88476565061358,27.123490363971303,32.498439412058474,32.39721519296453,32.439024631074325,32.48009191186115,32.3378872186657,24.65320963096974,25.110535328335747,25.537726760844464,-29.479982357412354,-22.614677190377492,-19.51541810082837,33.04673425262135,29.146238610135903,-11.802968525327273
NH,38.44511435226961,38.43561332922291,38.42481681564452,38.414970415613816,38.40515542844212,38.39090122471091,38.37671251257233,38.354925060788744,38.33314096050084,38.31334457464975,38.29369125322298,38.27587327859503,38.258172085193095,38.11983505292055,32.10506104080286,31.955346037959377,31.19490624564835,36.96083021118264,36.95533065062238,38.09308475468738,35.382944829114635,35.35637505334297,30.499067256111996,32.09378426066396,28.48570123542406,32.06407735909621,32.22059024338102,37.99129005999506,37.87997785144624,-1.469982624177078,-12.268885349596161,-11.544835115521607,38.39792778886286,34.00668929032635,-11.436134060885877
NJ,35.77521314706785,35.73675482412047,35.69934946729757,35.02896215012111,35.89222093571912,35.83748644529952,35.78455378154438,34.64055059868596,35.372874882005185,35.32334202682366,35.64682071234244,35.41357352036504,35.66655424449955,35.353977469778485,35.325240054330806,34.26787657008441,34.25185567372051,34.231493435164595,34.21085059507264,34.2331857232661,34.240310635534776,34.24286988936824,34.24491719686377,34.245372411279526,34.245515145361956,34.25109666337432,34.25668641842463,34.25057884705692,34.24408004038317,-4.2798713746033314,-4.2644657849444485,-4.276010442447614,35.52977402576235,34.24546129709134,-3.6147506250384964
