state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,31.251318499825675,30.652051530176678,30.133379394279025,30.140309193619235,30.147201954553875,30.582296893557565,31.073121539168312,31.34219414409979,31.629253090892668,31.83234555031973,32.044488454292164,32.26734791443395,32.5011306718009,32.585123603902375,32.62650083327012,32.709073678755786,32.79235958099463,32.85095764352677,32.81589835744345,32.87916034660665,32.897899557376235,33.10310930897092,32.86922812069443,32.971180194288955,33.02815466259794,33.52172184000971,33.610983993949596,33.85095785615272,34.10049385277209,9.116976466008325,7.587340487038844,6.502031181588649,30.7723473600192,33.283288973341925,8.159733750389961
AR,39.06968285165425,39.19453252298539,39.323936042671455,39.293423169010374,39.260994222197795,39.222199323368116,39.18146230637274,39.131159031541884,39.0811879520037,39.02144760115267,38.96242988792614,38.90483295438915,38.84792255159643,38.80270478022105,38.75793434465587,38.73132142047604,38.704874143199085,38.501142277630585,38.25888911958577,38.229299185131346,32.11829322549512,32.32900297314023,31.606962368899445,36.25306355271942,36.22484002373984,37.97691207153813,35.11318277308138,35.11814344709598,35.12293390792639,-10.101819763199728,-8.084223306778583,-10.39276288521394,39.19539749131174,35.00926335287673,-10.680167586928874
AZ,37.73946014676992,31.497600536568687,30.200648058099283,27.49314406848342,29.984418413173252,36.79005413241235,36.77240913066471,37.45617683312423,36.963787021183656,36.88664810731061,36.80653224015866,36.7593990238553,36.28133259405394,36.22496219332338,36.127173214985994,36.45620544501041,36.370737375292215,36.36498861186316,36.317621303587316,36.176729812516534,36.03258720429103,36.01916697075963,36.005577419081725,35.949971527989284,35.02083495767311,35.01087562287218,35.00102128699282,35.53949477654118,35.265582818465035,-6.555147632435393,-6.814878231588011,-5.663239216299715,33.87752203783105,35.60218423971825,5.090874710261488
CA,34.71301755650744,31.678645750116623,31.396551705542663,31.304477178098146,31.268438570201702,34.323921149367855,34.23925130158236,34.149450663665824,34.06424689858512,33.940038509317,33.50034790508985,33.48167002711448,31.807658897589917,32.001965108612374,30.892852082919976,30.372650748085565,30.161711040654783,30.2417995740836,30.29780525425878,32.18422563086108,29.51556488243017,30.303964928693667,28.428320335563267,30.900020809035656,30.22674880427908,32.74308409550675,31.71753049843546,32.78355800880139,32.803889967799115,-5.49974540703802,-7.657229099187859,-10.233413890291246,33.01533341929641,31.160690796140567,-5.617518986108024
CO,33.61044819310118,33.5535684370131,21.589699598129744,26.608019592353344,26.97381825627389,34.47299865428416,34.23160289051841,34.40522306058112,31.4766496465056,31.760012000757655,29.52709256091332,31.80022079341123,31.68105655855281,34.79622138534385,34.86850489542135,35.227958195788844,35.168881178673715,35.160330138166586,35.07477395652986,35.101126905450776,35.05516633994178,35.025261895994106,33.72512556658293,33.90621179640589,34.01620543229478,35.20146677083972,35.158820435333496,35.24101735213802,35.29470989255748,5.011125379167083,4.082051437246619,3.4574458483158423,30.769114258751173,34.7725112387539,13.011089452677709
CT,38.43157835257356,38.38545794712242,38.33657230166281,38.26450269588236,38.194387558002866,38.130736769308285,38.06855023068106,37.99745098894259,37.927391465477506,37.88973147884256,37.85224160834185,37.81538971935354,37.77868600400217,37.73948966948682,37.70044297581601,37.68228648195621,37.66420095862899,37.61869032274743,37.57328221886742,37.53449996393472,37.49529589293844,37.4789757688173,37.46277857628822,37.393877079408654,35.653375138789954,35.666694326148374,33.829427273688104,35.14777508752172,35.159378904668365,-8.51435092747387,-8.691415626406567,-5.592719954498676,38.19295870107261,36.28220780122039,-5.002887874718553
DE,36.96547036409454,36.90027389065349,36.83581043287799,35.450496113716575,34.68079311176456,34.64500648650274,34.61019694481283,34.50564335939364,34.40344929544857,34.39504035770844,34.38669206561802,34.37731580141697,34.36799666604682,34.35209402112865,34.33625840506641,34.32460696859698,34.31303006101201,34.30744901300564,34.301904456233096,34.22845881989302,34.15284945093828,34.14888571200145,34.144942815679194,34.13348620054015,34.12208070610669,33.916760523869605,33.69664368294823,33.59441620517352,33.48929555422991,-9.4038430341228,-8.661139701711392,-8.122954658445593,35.44412666658499,33.962781967138,-4.1793798825449215
FL,35.921012386625755,35.99865052101402,36.07908670288477,36.03702826256042,35.99545628475012,35.860928433303535,35.73248773220954,35.25025571006415,34.030037900956096,34.0313560064386,34.03262915115748,34.74458420977115,34.27468272417225,34.278347428170584,33.88660342290934,34.2676407853028,33.97617067674993,34.33055252211656,33.78097029911152,34.109591582370015,33.90995749873496,34.35362520150448,33.91882932089224,34.100304700645005,33.471155449548284,33.7685348844964,33.482506759793786,33.94613048134352,33.84859785245123,-5.7693656065944765,-6.173621381352774,-5.651536186111528,35.65610488159649,33.890923373178,-4.950573020469136
GA,39.28263748458488,39.368902030540895,39.458524412663024,39.470397457697246,39.482349935781755,39.40308772814893,39.326495803151154,39.321326323492464,39.31614912155631,39.319019726597745,38.12242746197141,38.121639160894425,37.53209016570905,38.63072970169473,38.142329114533766,38.708440592145195,37.48402988870945,37.93112184087335,37.23440458175112,38.29326680915002,38.23652482304754,38.951608837035415,37.16647693078773,37.179309658629904,37.19224768006115,38.62423515483719,36.8013524831766,36.647537426154116,36.49229968054867,-7.103234361825088,-5.42505069947407,-4.389093112494365,39.38109669973519,37.558485948342835,-4.628136096079345
IA,39.190201190213116,39.18462669870581,38.50311030424574,37.339240556442945,36.47446110896868,36.92000507686865,36.90977954840063,36.900583695143766,36.89137305672719,36.87306864521947,27.78437616319609,28.19758140810094,26.027755098413074,31.104210831159623,31.29726480164469,37.057199119352184,37.06017741460915,36.98431506402599,36.90878477300293,36.84099149025926,36.77145818471962,36.67631230185104,36.5819275388794,36.53535142793085,36.4882974050877,36.47655429650604,36.335113250491084,36.23309820606389,36.125251934606744,-7.820703039339776,-7.294012495082271,-6.848052587297687,37.59037569285739,36.50643560363956,-2.8835574777822615
ID,40.957612356117764,40.900370801198825,22.239290118507892,33.88394712119629,24.771178301704396,39.08584677458526,39.061398952752604,40.60562296668169,38.954247948148016,38.955904561267026,38.95754333386422,40.553543857280424,39.91676483752941,39.900590807048744,32.60596599243008,33.0301695359975,31.677326911077536,36.26613977418098,33.43312334240551,35.742727403371674,33.21959607339298,35.92852409647319,34.53105703565275,37.758925497240284,35.39573406777456,37.11263079510262,33.12434869846761,34.766303703144565,34.88298241512043,-14.83150406371277,-14.408096763273235,-13.944488091456378,35.60661281565475,35.24628297857406,-1.011974486161364
IL,31.245724301251975,30.88619041382084,30.56081244347668,31.36239386177334,31.353551403670288,31.423291538264543,31.494628695241616,31.566163326662895,30.431919389220663,30.562606875704933,30.67806405070559,32.0212867395348,31.38005163375106,31.470680832808405,31.405346763689668,32.13362097540409,31.954939754286855,32.06051544193744,31.705467306726398,31.831447920829508,29.655944420758868,29.99276684354158,29.28162997196265,31.2816916412215,29.705667062095202,30.683220692092306,30.77253273654406,32.66120081277346,32.59049481826436,4.303854517971615,0.11809271164959512,-1.280381934457509,31.147186152598092,30.845659692008347,-0.9680696648245828
IN,30.881380649285944,30.52959592862513,28.94011249332391,28.815334446517532,28.586121257776636,29.63122032949861,29.47015304678697,29.43659385177507,29.24764776838386,29.451306562779976,29.282024879971676,29.45734800021463,28.756209348981965,28.894601084847523,28.43219503284021,29.039828958254745,28.452688603471564,28.692709258357922,27.91144866627347,28.316276044326145,27.80168939662494,28.338191159190472,28.207957649430952,28.649940531455247,27.026246275157206,27.26086610415536,27.396223325749652,28.880504913610334,28.732618743798117,-6.958114761418585,-9.786119380843445,-9.13278219962396,29.50423997466374,28.06105141434984,-4.89146157146638
