state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,28.8805534768649,28.261569823751888,27.725832682033726,27.73312286529911,27.74037408397821,28.190555036782346,28.698398008081348,28.977695416871917,29.275662651514082,29.486660896497153,29.707061892920517,29.938239987959054,30.180749112169302,30.269381148145154,30.317821705053955,30.40872358600122,30.500410448981054,30.558607373857647,30.527745139448108,30.594380342201532,30.618677349427177,30.834677630446983,30.631405828002496,30.75228934251347,30.830133907478306,31.324260405700716,31.429530646769155,31.702829384371366,31.987018138247674,10.75625044329999,8.913267613484749,7.582842283148381,28.38708489390861,31.07052029751589,9.45301503707097
AR,36.61169475873488,36.7343917859848,36.861564144645165,36.830850885736524,36.79820897037149,36.759404960937445,36.71865837725016,36.66840193977073,36.61847738827715,36.559437607109665,36.50111198926069,36.44416048587418,36.387887819981344,36.3432374116253,36.299028726202295,36.2727873144649,36.24670923722439,36.04529071901027,35.80629981026096,35.777244828093124,29.80098543591896,30.009216386432268,29.307556957727726,33.854955513347655,33.827409563580204,35.53646066401442,32.78905557757495,32.79321059255611,32.79722328157076,-10.418724132550722,-8.366241560409634,-10.822669927640845,36.73351702352315,32.64933188008162,-11.11841575318293
AZ,36.16922771093835,30.055790751163773,29.877401618613813,26.896991306524537,29.594432202175607,35.240687332114376,35.223379378470824,35.86701227218153,35.36627752922584,35.2890252554366,35.20880238577697,35.160949269317335,34.85705837146473,34.796845147194155,34.71013546342855,34.86788981706695,34.78067812712984,34.75959692074541,34.71207292066761,34.56970610715312,34.42844342621107,34.41484159584923,34.40106768489585,34.34025970414646,33.76131350870736,33.74718800202318,33.73320267793465,33.91790174972116,33.637852250609654,-6.998699227307952,-6.662392939096108,-5.734294513526322,32.69902223348985,34.09517767072517,4.269716162354854
CA,34.126662171764934,30.946368070845764,30.92375214232206,30.82101471326586,30.77758598849072,33.71651931391831,33.626209132967524,33.53107229233948,33.44111455037873,33.31134406486434,33.01170518190228,32.98691965378519,31.83295609793804,31.900966326412544,31.123506745623374,30.041551780919512,29.927027018351403,29.69434681578441,29.764920313188604,31.54888248280586,29.947015365471596,30.864971370950794,29.528947122514516,31.196070508893243,30.7835548137793,32.48697738499162,31.850936861249295,32.579542708153156,32.592772001683,-4.494697320123535,-6.059500947926182,-8.171602296409034,32.43447759736594,31.337967062049238,-3.3806942998389786
CO,31.6396255051692,31.583385384288064,21.012069651493256,27.229577987783887,27.588255647799265,32.51689421624431,32.37568845029146,32.56329357793769,30.840987042099176,31.03460475431724,29.543387692331148,31.11258411284647,31.07434746472982,33.06941942551965,33.1547556820422,33.35407203555874,33.29764938498621,33.29300944437426,33.21192446322782,33.239785576955924,33.19573286210893,33.16297025534547,32.313355262009225,32.503755970747406,32.62025495089749,33.3552858166414,33.31461260754802,33.39947397192911,33.456020771263695,5.740887374908212,5.0237766506656385,4.476978715010532,29.705530829234036,33.05612480454467,11.279360717611638
CT,36.17522912479523,36.11916886814427,36.05969448027853,35.98727963057031,35.916858683833816,35.85284709747745,35.79033008395167,35.71751498484112,35.6457803843381,35.62018656575906,35.594710054087635,35.56968384546042,35.544759731673345,35.51872916809623,35.49279942797872,35.47274781865706,35.452775723397814,35.42841432638574,35.4041086073155,35.38543418524316,35.3666295659261,35.349807673034626,35.33311381674788,35.285650537383674,33.61394545451184,33.61984735881119,31.828290699671623,33.10710479665101,33.120229083036556,-8.445005368783455,-8.617348726402653,-5.457391301884755,35.918300370914494,34.201005317101774,-4.781114462763753
DE,32.39661078507723,32.32990417434428,32.26394882554529,30.847702854731263,30.061404260164544,30.025081055281653,29.989750489348836,29.883487380978615,29.77962451311489,29.77108980220403,29.762616698536824,29.753165035052724,29.743771010491315,29.727951076228575,29.712197880645714,29.700491314348334,29.688859694789077,29.68314221922379,29.677462159256564,29.60273019439907,29.525794640272192,29.521738423407033,29.517703554332854,29.50604558607112,29.494439682859113,29.284694413618467,29.059819291669832,28.955445401247065,28.848114718723295,-10.95329412664509,-10.087808583233198,-9.46073715781722,30.84194603762073,29.331652590660006,-4.896881166702258
FL,34.70080924973958,34.79440824172448,34.89142145661426,34.85483448511729,34.81867576858899,34.68537439469516,34.55817373201155,34.08077042952202,32.88880248573775,32.8988370132771,32.908526290566556,33.60364923723871,33.14933962379042,33.15722092465162,32.78058498490598,33.15550007891862,32.87626368792411,33.22885725536605,32.70103520026492,33.03047407394987,32.84503351885314,33.27916285090387,32.85603259801563,33.032491570170954,32.52388153057567,32.81626999169312,32.53232169959218,32.88021829700183,32.78512945603658,-5.5205623013456915,-5.744088100120194,-5.310272961643179,34.47480780486123,32.85810155867928,-4.6895293958795605
GA,38.036759944716714,38.1241200868004,38.214917098743,38.227022504054034,38.23920976944163,38.1586555454905,38.080843372224834,38.07562958102814,38.07040792018811,38.07339380810219,36.87287936002464,36.8719932668397,36.28104205953394,37.3823833480903,36.89259322401479,37.45935986364926,36.23130709248346,36.679147082510056,35.98126798494475,37.0411574782152,36.98347075040638,37.69952455450165,35.91054477594516,35.92406599154552,35.93769912355454,37.36882033918815,35.54135144348703,35.38612239970335,35.2294457807519,-7.380529172424275,-5.63684217713589,-4.5601667531825285,38.136396202520814,36.30222026372989,-4.809515637111204
IA,37.45148013261809,37.445724628956164,36.86663532873228,35.60293669192973,34.68215173529124,35.045486288808846,35.03454080135213,35.02395218114067,35.01333648315772,34.99428097097171,28.77910750934157,29.102477294092104,27.377029298221917,31.255218094012484,31.38638799783579,35.17643060310442,35.17931890076548,35.10015123701475,35.02148634911632,34.95138152843621,34.87966799351096,34.7794801417215,34.6801480949505,34.63230752091553,34.584057009966074,34.57071036553788,34.42416748267293,34.31864773666903,34.20733537152236,-8.662260475708834,-8.091793778545608,-7.606347727620914,35.7962493635541,34.602790324590295,-3.334033761031179
ID,37.386066121929055,37.32782198817694,19.628979194889425,31.71109395304458,22.208724247470293,35.885819998196546,35.85859851102794,37.02468410764537,35.41898534030167,35.41699606492971,35.41503304147559,36.95420592312032,36.33368296936925,36.31778345614138,29.33812044262526,29.748749164501447,28.47306279978116,32.841800173569204,30.148058945962703,32.35008279384043,29.960284897725842,32.53281873072958,31.207151620113287,34.27875127389833,32.03393229289828,33.669204035988486,30.147510374708027,31.76433650559029,31.86979406044542,-14.754887672570689,-14.682236558671462,-14.45640053625516,32.494530384742426,31.981386658593795,-1.5791695404515593
IL,29.715030882432213,29.33577781855996,28.992845393027594,29.76179732609002,29.765202769607885,29.84207988427116,29.920733174723637,30.00049103627274,29.39643378421632,29.543397938315273,29.67514952112446,30.50656305911455,30.19197181115637,30.292556499499053,30.23741527060598,30.667395184976158,30.500244061282757,30.606426052094953,30.269156969718736,30.389331886463633,29.038634636392292,29.383715614614985,28.609529076903595,29.887859945019667,29.077827919057338,30.115623499286148,30.201275934533605,31.237278352440157,31.159868830215405,4.862313465194461,2.165045788509218,0.656447869202097,29.63671022991128,29.910094569492685,0.9224517075633116
IN,28.411311679746383,28.074398795310383,26.633869906266515,26.476139971439984,26.23111503140861,27.15608769624839,27.023860867356042,26.985883748591583,26.811758971328697,27.00161290755691,26.863898433552734,27.026166486623694,26.416548890752306,26.54051181541426,26.13552850881008,26.677022524116705,26.16574703243215,26.36364860182363,25.666459588882923,26.003167544807194,25.53909561456032,26.009061685743973,25.898668131181505,26.286724270225157,25.347091197069332,25.571611918475877,25.699417674589114,26.506087756733564,26.357071355768426,-7.2303607349546155,-8.852304066665212,-8.762397149743833,27.089380740855177,25.921799714915448,-4.3101060046707715
KS,36.833066859283306,36.84384657070141,36.85483246583184,36.15178405801546,35.555526852104045,35.51691359111302,35.478998799678266,35.407210355716515,32.727451088665106,32.80545772321126,30.33762267199545,32.18721780322305,31.93267474009751,35.062820329694034,35.075119190730774,35.58307934164204,32.44647830079212,32.55284200875078,32.65644354506543,35.632169145196876,35.53203513598447,35.51091114197294,33.300242055136295,33.41670988794855,33.52952888309932,35.46199880810937,35.24565828203013,35.21130939958956,35.17661413559659,-4.497189251210102,-5.180250031548525,-5.515015025975018,35.707736737901,34.80171768746641,-2.5373186127277734
KY,24.457282240434065,24.411520678846056,24.363635141167062,24.486174970802928,24.58272367853827,24.549682044811888,24.452007568203207,24.433038362650606,24.209741935976755,24.207944009696565,24.089321554569374,24.229806691473524,24.13357829524712,24.175963107364126,24.040835383583705,24.104589878531318,23.925208502861953,24.0286970219253,23.90487102703229,24.058526350178823,23.794254975237504,23.891011435880696,23.383514312879974,23.629954112363517,23.415572137096543,23.921977438220136,23.807577357777138,24.144010312092075,24.161433046626684,-1.2096568657913593,-2.3190155655720304,-2.602493140249507,24.438422957936762,23.820783147835307,-2.5273308804112844
LA,28.805039583654857,28.599031107081984,27.817635013309044,29.091024925390908,29.097699901990758,29.8094771440154,29.051839898985527,29.010755833705616,28.42832499234283,28.8879884602812,28.135077009069185,28.680429906517084,28.126763981477932,28.834503534642426,27.70810820382995,28.188723999097697,27.94335170528597,29.064340091281515,28.01276410021257,28.215709593858378,27.938558257854158,28.840277199546975,28.80949269629794,29.20524094371587,29.262330148128246,29.36281174123603,28.85043889585721,28.949375885302864,29.049737996514246,0.8494986168956302,1.0064188556691391,0.15052141154126275,28.856758711164105,28.84839733583119,-0.028975448755716116
