state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,30.065935988345288,29.456810676964277,28.92960603815637,28.936716029459163,28.943788019266037,29.386425965169966,29.88575977362483,30.15994478048586,30.45245787120337,30.65950322340844,30.875775173606335,31.102793951196496,31.340939891985105,31.427252376023763,31.47216126916203,31.558898632378497,31.646385014987832,31.704782508692208,31.671821748445776,31.736770344404096,31.758288453401708,31.968893469708952,31.75031697434847,31.861734768401206,31.929144285038124,32.42299112285522,32.52025732035938,32.776893620262044,33.04375599550988,9.904298367158475,8.224165984448774,7.02113065065366,29.579716126963906,32.17690463542891,8.78030234406981
AR,37.84068880519456,37.96446215448508,38.0927500936583,38.06213702737345,38.02960159628464,37.99080214215278,37.95006034181145,37.89978048565631,37.84983267014044,37.790442604131165,37.73177093859342,37.674496720131664,37.617905185788885,37.572971095923165,37.52848153542907,37.502054367470464,37.475791690211736,37.27321649832043,37.032594464923356,37.00327200661223,30.959639330707038,31.169109679786246,30.45862979559013,35.0563612277363,35.0284337715767,36.75669043116469,33.97845956286333,33.98247178933407,33.986346580918806,-10.185708415927806,-8.176934605900442,-10.577892511872378,37.96445725741744,33.837941417628954,-10.86941876136595
AZ,36.95335679976882,30.770898048485666,30.58303426119832,27.57081129087021,30.296534397581304,36.01338806733415,35.99589819888337,36.66032055045868,36.163432087599396,36.08610209354809,36.0057985150349,35.95827035615168,35.65080293215247,35.59114288377205,35.50454986788606,35.66678485984092,35.58020560879676,35.5598156491887,35.51255650975783,35.37102021468536,35.230449728958284,35.21691804734372,35.20321517260916,35.14299280071997,34.55614918000196,34.54233830234565,34.528664484882746,34.72454432824316,34.446987592276436,-6.782521060463083,-6.477408900059132,-5.56655468597387,33.44529707801999,34.896327985206646,4.338520013147871
CA,34.427532193155656,31.23159377200095,31.20540792158834,31.10298036907518,31.060086053646874,34.01342796501592,33.92294290098005,33.8274790359831,33.73721207234128,33.607172125737115,33.306349635343096,33.28172928493093,32.122149567042854,32.190762852092256,31.409488171119428,30.322664951648242,30.207293022361885,29.973349764044915,30.04377384842728,31.83584360456416,30.22570982377027,31.14780050408535,29.805093275821704,31.48053066609987,31.065807171081456,32.77785160732369,32.13868109559074,32.87086123558859,32.884134875170616,-4.483032095724454,-6.04186493686052,-8.145517928826479,32.72540692042082,31.62323138590965,-3.3679505871121904
CO,32.5601845624449,32.50272102812494,21.67816449106265,28.003581941751136,28.356223144677422,33.4106514759053,33.26555909172639,33.440913514071404,31.660837953556637,31.85670601504403,30.329376152599764,31.927231255493332,31.881492210503353,33.913011395992484,33.993203912184875,34.196446972690595,34.13859696726963,34.13248590993322,34.048217058068296,34.074495161734816,34.02733951528698,33.99684367467518,33.13230304000218,33.320328159671945,33.43283649718569,34.1823503882167,34.14064512905565,34.22495275724038,34.28033215593573,5.2829786335881295,4.582402843019679,4.0572807040514505,30.542093022591196,33.88124264790052,10.93294301356309
CT,37.310335483726256,37.25909759956467,37.204739271970496,37.1318453225103,37.06095846776943,36.996582669439576,36.933709947733945,36.86119317038644,36.789752464868876,36.75784149171123,36.72607677955677,36.69486272999562,36.66377601867604,36.63087288483201,36.59809719378331,36.57885838646247,36.55969587006181,36.524429079116906,36.48924289037775,36.45923309994282,36.42901408257628,36.41236483584478,36.395842311654945,36.337306647838275,34.62495538278024,34.634712840289325,32.81344025227717,34.11526545957555,34.127822943427034,-8.529841661936672,-8.70293999225143,-5.562372118071195,37.06091271088556,35.23499578562064,-4.926799670340046
DE,34.68164791659547,34.61563753070413,34.550370565736465,33.14861419555262,32.37036021530158,32.33429897355932,32.299223211849906,32.19377627147427,32.09071113623739,32.082238566057086,32.073827154561705,32.06441158158798,32.055053427446786,32.03918690909315,32.02338732594112,32.01170593485562,32.00009932933375,31.994450421038735,31.988838479632303,31.91470517062812,31.83838592466195,31.834376656057344,31.830388488155926,31.818828224327632,31.807319589196375,31.59966041515633,31.377021867669306,31.273655276785416,31.16736042943628,-10.132988765731568,-9.332441205592119,-8.75240334510029,33.142737779667904,31.646170204207465,-4.515521878154971
FL,35.31801583186135,35.40422449230721,35.493577797549435,35.45395229202823,35.41479060788746,35.27990694830009,35.151196415291125,34.66835539840421,33.45637363261423,33.462109097807534,33.46764722727343,34.17428440298327,33.71014041226336,33.71599971110789,33.33043137701131,33.709828690522876,33.42341998458845,33.77824026083086,33.23763781238705,33.567800613907586,33.374581442809905,33.81506762946589,33.38463377643844,33.56460738037092,33.04870474029407,33.345840422305166,33.057385783853334,33.4108672145746,33.31440179023018,-5.67306513245191,-5.896638847222917,-5.463576327794641,35.07115482402704,33.38838907942501,-4.798147517655096
GA,38.67578876737392,38.76336415267832,38.85438487581018,38.86649736393326,38.87869176002883,38.79805384836318,38.720160836097136,38.71495471899698,38.709740743836676,38.71271810929177,37.50728143083421,37.50636383893317,36.912974318219355,38.018790919101825,37.526985924407754,38.09644697577415,36.863713431431876,37.31338791891163,36.612624538474286,37.67719656495434,37.619581027927076,38.33899855337866,36.54290422975492,36.55615539172521,36.56951623484423,38.007985606507624,36.17397692012941,36.018837479710385,35.862251299712106,-7.2746737877399426,-5.5571594728696425,-4.4964782669838,38.77573745190205,36.936740330864396,-4.742648991057294
IA,38.340558800199986,38.33479680518791,37.749388335719104,36.487806395601986,35.5685637548361,35.93657042439802,35.92566135939067,35.91508435489827,35.904480302338705,35.88546263748638,29.569902168883278,29.896683448741072,28.142163343645805,32.08110722255786,32.21344361037283,36.06322368671072,36.066063785728005,35.98688395122985,35.908206969877654,35.838321847680824,35.766833052719264,35.66648565755091,35.56699543022117,35.519290405925126,35.47117660621491,35.45777429180983,35.30955194374931,35.2040558191835,35.092768372199004,-8.470900085013994,-7.911969696051628,-7.4365985961052985,36.68476783695231,35.48932534272539,-3.2586890001325486
