state,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EmpChange_1Y,EmpChange_5Y,EmpChange_10Y,20s,40s,EmpChange_dec
AL,31.25131849982567,30.65205153017667,30.133379394279018,30.14030919361923,30.147201954553864,30.58229689355757,31.073121539168312,31.34219414409979,31.62925309089266,31.832345550319722,32.044488454292164,32.26734791443394,32.5011306718009,32.585123603902375,32.62650083327012,32.709073678755786,32.79235958099463,32.85095764352676,32.81589835744345,32.87916034660665,32.89789955737623,33.10310930897092,32.86922812069442,32.97118019428895,33.028154662597956,33.52172184000972,33.6109839939496,33.85095785615271,34.10049385277209,9.116976466008353,7.587340487038858,6.502031181588677,30.7723473600192,33.283288973341925,8.159733750389961
AR,39.06968285165425,39.19453252298539,39.323936042671434,39.29342316901037,39.260994222197795,39.22219932336812,39.18146230637274,39.13115903154187,39.0811879520037,39.02144760115267,38.96242988792614,38.90483295438915,38.847922551596426,38.802704780221035,38.75793434465587,38.73132142047605,38.704874143199085,38.501142277630585,38.25888911958577,38.229299185131346,32.11829322549512,32.32900297314023,31.609702633452525,36.25776694212495,36.22945797957321,37.97692019831497,35.167863548151715,35.171732986112026,35.17546988026685,-9.967352400001658,-7.9995375059415466,-10.348514759716721,39.19539749131174,35.0265509551763,-10.636061382103676
AZ,37.737485888599295,31.48600534580755,31.288666903782826,28.24463127521589,30.998636592987,36.78608880255392,36.7684170192959,37.453628828735845,36.96058664597296,36.88317893165961,36.80279464429283,36.75559144298602,36.44454749284021,36.385440620349954,36.298964272343575,36.46567990261486,36.379733090463674,36.360034377632,36.31304009884804,36.172334322217594,36.03245603170551,36.01899449883818,36.00536266032247,35.945725897293485,35.350984851296566,35.337488602668124,35.324126291830844,35.53118690676517,35.256122933943224,-6.575326618156367,-6.300112249970439,-5.405785628998345,34.19157192255014,35.697478299688115,4.404320399626883
CA,34.728402214546364,31.516819473156126,31.487063700854634,31.384946024884492,31.342586118803023,34.310336616113524,34.219676668992555,34.12388577962675,34.03330959430385,33.90300018660991,33.60099408878392,33.5765389160767,32.41134303614767,32.480559377771975,31.695469596615496,30.603778122376973,30.487559026372374,30.25235271230542,30.322627383665967,32.12280472632248,30.504404282068947,31.430629637219905,30.081239429128896,31.764990823306505,31.348059528383594,33.06872582965576,32.42642532993219,33.16217976302404,33.17549774865823,-4.4715689950103155,-6.024534505475302,-8.119885525845348,33.0163362434757,31.908495709770058,-3.3554314613710545
CO,33.4807436197206,33.422056671961805,22.344259330632045,28.777585895718406,29.12419064155558,34.304408735566284,34.15542973316133,34.318533450205116,32.4806888650141,32.678807275770815,31.115364612868397,32.7418783981402,32.688636956276895,34.75660336646531,34.83165214232755,35.038821909822445,34.979544549553054,34.97196237549217,34.88450965290878,34.90920474651371,34.85894616846501,34.8307170940049,33.95125081799514,34.13690034859649,34.24541804347388,35.009414959791975,34.96667765056326,35.05043154255165,35.10464354060776,4.850250458387848,4.165300339553028,3.66066203742821,31.378655215948363,34.706360491256376,10.604996461469412
CT,38.44544184265728,38.39902633098506,38.34978406366244,38.276411014450304,38.20505825170506,38.140318241401715,38.07708981151622,38.00487135593177,37.933724545399656,37.89549641766342,37.8574435050259,37.8200416145308,37.782792305678754,37.743016601567795,37.70339495958789,37.68496895426789,37.666616016725804,37.62044383184804,37.57437717344001,37.53303201464248,37.49139859922648,37.474921998654935,37.458570806562,37.38896275829286,35.63596531104865,35.649578321767464,33.798589804882724,35.12342612250008,35.13541680381753,-8.609668351287098,-8.783477072975671,-5.661153791456414,38.203525050856605,36.26898625413952,-5.0637704089919
DE,36.96668504811374,36.90137088706399,36.83679230592763,35.44952553637398,34.67931617043863,34.64351689183699,34.60869593435098,34.504065161969926,34.40179775935989,34.39338732991014,34.385037610586586,34.375658128123234,34.36633584440224,34.35042274195772,34.334576771236534,34.32292055536293,34.31133896387843,34.30575862285367,34.30021480000804,34.22668014685718,34.15097720905172,34.14701488870765,34.143073421979,34.131610862584175,34.12019949553363,33.91462641669419,33.694224443668794,33.59186515232378,33.48660614014926,-9.414095160101596,-8.6704575059087,-8.131638599583297,35.443529521715085,33.96068781775494,-4.183673928556303
FL,35.93522241398313,36.01404074288993,36.09573413848462,36.053070098939166,36.01090544718593,35.87443950190503,35.74421909857069,35.25594036728639,34.0239447794907,34.025381182337966,34.02676816398031,34.74491956872783,34.2709412007363,34.274778497564164,33.88027776911666,34.26415730212711,33.97057628125279,34.32762326629567,33.77424042450918,34.105127153865304,33.904129366766675,34.350972408027886,33.91323495486126,34.09672319057091,33.573527950012476,33.87541085291721,33.58244986811447,33.94151613214736,33.84367412442379,-5.820329328880064,-6.043949313682106,-5.611613560036631,35.667501843192845,33.918676600170734,-4.903133532341499
GA,39.31481759003114,39.40260821855623,39.493852652877365,39.5059722238125,39.51817375061603,39.43745215123589,39.35947829996944,39.35427985696581,39.34907356748524,39.35204241048137,38.141683501643776,38.14073441102665,37.544906576904765,38.65519849011334,38.161378624800726,38.73353408789904,37.496119770380275,37.947628755313225,37.24398109200382,38.31323565169346,38.25569130544779,38.978472552255674,37.17526368356466,37.18824479190494,37.20133334613392,38.64715087382711,36.8066023967718,36.65155255971742,36.4950568186723,-7.172259581013108,-5.480067117373395,-4.434860184813218,39.4150787012833,37.571260397998905,-4.677951596286832
IA,39.229637467781885,39.22386898141967,38.63214134270592,37.37267609927425,36.45497577438096,36.82765455998719,36.81678191742923,36.80621652865588,36.79562412151969,36.776644304001046,30.36069682842498,30.690889603390044,28.907297389069686,32.906996351103224,33.040499222909865,36.95001677031702,36.95280867069052,36.87361666544494,36.794927590639,36.725262166925454,36.653998111927585,36.553491173380316,36.453842765491835,36.40627329093471,36.358296202463755,36.34483821808176,36.19493640482568,36.08946390169797,35.978201372875624,-8.288213465078712,-7.740296479381698,-7.274543664251638,37.57328631035051,36.37586036086047,-3.1869076864862222
ID,41.08396516263316,41.0243966557153,22.331824928107192,35.087813937230266,25.05547370166672,39.504294990409015,39.47678407177707,40.71215954921716,39.01137199843728,39.008382792765495,39.005433034815624,40.63685481658889,39.97789777742426,39.961057216608374,32.55964231828314,32.99006328728499,31.634147391578672,36.2618693698087,33.40793725109456,35.741229102241455,33.210069401216366,35.93367032209704,34.52790471498473,37.77736886340921,35.39737954157783,37.125641737386836,33.38946690131085,35.09652556713616,35.20555791328779,-14.308276297274062,-14.217349292774315,-13.979867165772419,35.92089833279925,35.34048140646483,-1.615819629445184
