state,scenario,analysis,emissions,MismatchMult
AL,Electrification,v6.2jedi_high,NNP,0.7881387888544253
AL,Electrification,v6.2jedi_low,NNP,0.8100230694516931
AL,Electrification,v6.2jedi_mid,NNP,0.7914409408322756
AL,Electrification,v6.2nei_high,NNP,0.7581800661035879
AL,Electrification,v6.2nei_low,NNP,0.7762318500879194
AL,Electrification,v6.2nei_mid,NNP,0.760903926909642
AL,Electrification 95 by 2035,v6.2jedi_high,95% by 2035,1.1575974734428383
AL,Electrification 95 by 2035,v6.2jedi_low,95% by 2035,1.2310540966083006
AL,Electrification 95 by 2035,v6.2jedi_mid,95% by 2035,1.170449727129555
AL,Electrification 95 by 2035,v6.2nei_high,95% by 2035,1.0629747346493206
AL,Electrification 95 by 2035,v6.2nei_low,95% by 2035,1.123564843000234
AL,Electrification 95 by 2035,v6.2nei_mid,95% by 2035,1.0735758133522932
AL,Electrification 95 by 2050,v6.2jedi_high,95% by 2050,1.0337136520565013
AL,Electrification 95 by 2050,v6.2jedi_low,95% by 2050,1.105600878591004
AL,Electrification 95 by 2050,v6.2jedi_mid,95% by 2050,1.0451418290869179
AL,Electrification 95 by 2050,v6.2nei_high,95% by 2050,0.9608421503423373
AL,Electrification 95 by 2050,v6.2nei_low,95% by 2050,1.0201377544291326
AL,Electrification 95 by 2050,v6.2nei_mid,95% by 2050,0.9702685908004924
AL,Electrification EnhancedFlex,v6.2jedi_high,NNP,0.9110903144037324
AL,Electrification EnhancedFlex,v6.2jedi_low,NNP,0.9110903144037326
AL,Electrification EnhancedFlex,v6.2jedi_mid,NNP,0.9110903144037326
AL,Electrification EnhancedFlex,v6.2nei_high,NNP,0.8595531943643296
AL,Electrification EnhancedFlex,v6.2nei_low,NNP,0.8595531943643296
AL,Electrification EnhancedFlex,v6.2nei_mid,NNP,0.8595531943643298
AL,Electrification EnhancedFlex 95 by 2035,v6.2jedi_high,95% by 2035,0.8766447087831658
AL,Electrification EnhancedFlex 95 by 2035,v6.2jedi_low,95% by 2035,0.9544378916023324
AL,Electrification EnhancedFlex 95 by 2035,v6.2jedi_mid,95% by 2035,0.89051676873053
AL,Electrification EnhancedFlex 95 by 2035,v6.2nei_high,95% by 2035,0.8313326229824165
AL,Electrification EnhancedFlex 95 by 2035,v6.2nei_low,95% by 2035,0.8954900091009789
AL,Electrification EnhancedFlex 95 by 2035,v6.2nei_mid,95% by 2035,0.8427731512401655
AL,Electrification EnhancedFlex 95 by 2050,v6.2jedi_high,95% by 2050,0.9142051795283958
AL,Electrification EnhancedFlex 95 by 2050,v6.2jedi_low,95% by 2050,0.9731665609432754
AL,Electrification EnhancedFlex 95 by 2050,v6.2jedi_mid,95% by 2050,0.9229866326547425
AL,Electrification EnhancedFlex 95 by 2050,v6.2nei_high,95% by 2050,0.8624142402072591
AL,Electrification EnhancedFlex 95 by 2050,v6.2nei_low,95% by 2050,0.9110407133303807
AL,Electrification EnhancedFlex 95 by 2050,v6.2nei_mid,95% by 2050,0.8696564567934958
AL,High Demand Growth,v6.2jedi_high,NNP,0.508791137072259
AL,High Demand Growth,v6.2jedi_low,NNP,0.5244999968591222
AL,High Demand Growth,v6.2jedi_mid,NNP,0.5112707682607421
AL,High Demand Growth,v6.2nei_high,NNP,0.5277430949768849
AL,High Demand Growth,v6.2nei_low,NNP,0.5407024162175598
AL,High Demand Growth,v6.2nei_mid,NNP,0.5297887136637878
AL,High Demand Growth 95 by 2035,v6.2jedi_high,95% by 2035,0.6755234950635723
AL,High Demand Growth 95 by 2035,v6.2jedi_low,95% by 2035,0.682938743702918
AL,High Demand Growth 95 by 2035,v6.2jedi_mid,95% by 2035,0.6766927573694691
AL,High Demand Growth 95 by 2035,v6.2nei_high,95% by 2035,0.6660788040095629
AL,High Demand Growth 95 by 2035,v6.2nei_low,95% by 2035,0.6721961537408983
AL,High Demand Growth 95 by 2035,v6.2nei_mid,95% by 2035,0.6670434090822626
AL,High Demand Growth 95 by 2050,v6.2jedi_high,95% by 2050,0.5557834525552321
AL,High Demand Growth 95 by 2050,v6.2jedi_low,95% by 2050,0.5588768844239685
AL,High Demand Growth 95 by 2050,v6.2jedi_mid,95% by 2050,0.5562844686978582
AL,High Demand Growth 95 by 2050,v6.2nei_high,95% by 2050,0.5668224553876382
AL,High Demand Growth 95 by 2050,v6.2nei_low,95% by 2050,0.5693744405646038
AL,High Demand Growth 95 by 2050,v6.2nei_mid,95% by 2050,0.5672357781384396
AL,High NG Price,v6.2jedi_high,NNP,0.5334445305857638
AL,High NG Price,v6.2jedi_low,NNP,0.5334850895511046
AL,High NG Price,v6.2jedi_mid,NNP,0.5334549073085646
AL,High NG Price,v6.2nei_high,NNP,0.5496868909057705
AL,High NG Price,v6.2nei_low,NNP,0.5497195720957357
AL,High NG Price,v6.2nei_mid,NNP,0.5496952521557732
AL,High NG Price 95 by 2035,v6.2jedi_high,95% by 2035,0.539217140144814
AL,High NG Price 95 by 2035,v6.2jedi_low,95% by 2035,0.5698463616435158
AL,High NG Price 95 by 2035,v6.2jedi_mid,95% by 2035,0.5447733235942558
AL,High NG Price 95 by 2035,v6.2nei_high,95% by 2035,0.5545219555618706
AL,High NG Price 95 by 2035,v6.2nei_low,95% by 2035,0.5792020576769664
AL,High NG Price 95 by 2035,v6.2nei_mid,95% by 2035,0.5589989604674062
AL,High NG Price 95 by 2050,v6.2jedi_high,95% by 2050,0.575611870353037
AL,High NG Price 95 by 2050,v6.2jedi_low,95% by 2050,0.5891017879527217
AL,High NG Price 95 by 2050,v6.2jedi_mid,95% by 2050,0.5775468600298964
AL,High NG Price 95 by 2050,v6.2nei_high,95% by 2050,0.5845198523064123
AL,High NG Price 95 by 2050,v6.2nei_low,95% by 2050,0.5953896207038418
AL,High NG Price 95 by 2050,v6.2nei_mid,95% by 2050,0.5860790085787507
AL,High RE Cost,v6.2jedi_high,NNP,0.5620763543655075
AL,High RE Cost,v6.2jedi_low,NNP,0.5620763543655075
AL,High RE Cost,v6.2jedi_mid,NNP,0.5620763543655075
AL,High RE Cost,v6.2nei_high,NNP,0.5717822935798099
AL,High RE Cost,v6.2nei_low,NNP,0.5717822935798101
AL,High RE Cost,v6.2nei_mid,NNP,0.5717822935798099
AL,High RE Cost 95 by 2035,v6.2jedi_high,95% by 2035,0.9213213702562015
AL,High RE Cost 95 by 2035,v6.2jedi_low,95% by 2035,0.9213213702562015
AL,High RE Cost 95 by 2035,v6.2jedi_mid,95% by 2035,0.9213213702562014
AL,High RE Cost 95 by 2035,v6.2nei_high,95% by 2035,0.8676220673493351
AL,High RE Cost 95 by 2035,v6.2nei_low,95% by 2035,0.8676220673493353
AL,High RE Cost 95 by 2035,v6.2nei_mid,95% by 2035,0.8676220673493351
AL,High RE Cost 95 by 2050,v6.2jedi_high,95% by 2050,0.5282658179614728
AL,High RE Cost 95 by 2050,v6.2jedi_low,95% by 2050,0.5282658179614728
AL,High RE Cost 95 by 2050,v6.2jedi_mid,95% by 2050,0.5282658179614728
AL,High RE Cost 95 by 2050,v6.2nei_high,95% by 2050,0.5439391753781666
AL,High RE Cost 95 by 2050,v6.2nei_low,95% by 2050,0.5439391753781668
AL,High RE Cost 95 by 2050,v6.2nei_mid,95% by 2050,0.5439391753781666
AL,High Trans,v6.2jedi_high,NNP,0.4636574069602439
AL,High Trans,v6.2jedi_low,NNP,0.4636574069602439
AL,High Trans,v6.2jedi_mid,NNP,0.4636574069602438
AL,High Trans,v6.2nei_high,NNP,0.4910497188694224
AL,High Trans,v6.2nei_low,NNP,0.4910497188694224
AL,High Trans,v6.2nei_mid,NNP,0.4910497188694225
AL,High Trans 95 by 2035,v6.2jedi_high,95% by 2035,0.5943784410562686
AL,High Trans 95 by 2035,v6.2jedi_low,95% by 2035,0.5946093469522662
AL,High Trans 95 by 2035,v6.2jedi_mid,95% by 2035,0.5944464206711788
AL,High Trans 95 by 2035,v6.2nei_high,95% by 2035,0.5994745147710321
AL,High Trans 95 by 2035,v6.2nei_low,95% by 2035,0.599664191358194
AL,High Trans 95 by 2035,v6.2nei_mid,95% by 2035,0.5995303563133068
AL,High Trans 95 by 2050,v6.2jedi_high,95% by 2050,0.5875860409747762
AL,High Trans 95 by 2050,v6.2jedi_low,95% by 2050,0.5875860409747762
AL,High Trans 95 by 2050,v6.2jedi_mid,95% by 2050,0.5875860409747762
AL,High Trans 95 by 2050,v6.2nei_high,95% by 2050,0.5934916358861881
AL,High Trans 95 by 2050,v6.2nei_low,95% by 2050,0.5934916358861881
AL,High Trans 95 by 2050,v6.2nei_mid,95% by 2050,0.5934916358861883
AL,Low Demand Growth,v6.2jedi_high,NNP,0.45130710887348147
AL,Low Demand Growth,v6.2jedi_low,NNP,0.45130710887348147
AL,Low Demand Growth,v6.2jedi_mid,NNP,0.4513071088734814
AL,Low Demand Growth,v6.2nei_high,NNP,0.4808188197839803
