state,max_scenario,max_analysis,max_value,min_scenario,min_analysis,min_value,std,mean,mid_value,diff,majority
WA,Electrification,v6.2jedi_low,1.9688649189935137,High_Trans,v6.2jedi_low,0.5980949969050313,0.3853191845772656,0.961321435420177,0.7510182869396441,0,1.0
OR,Low_RE_Cost,v6.2jedi_low,4.229712117854253,Low_Demand_Growth,v6.2jedi_low,0.3635268999958328,0.8971430484336349,1.0513571707542873,0.4526388881631413,0,1.0
CA,Electrification_EnhancedFlex,v6.2jedi_low,2.848671242749274,Low_Everything,v6.2jedi_mid,1.4679536487939375,0.33653779118466104,2.0995869597062673,2.0655617136512183,0,1.0
ID,Electrification,v6.2jedi_low,6.960050369409567,High_NG_Price,v6.2jedi_mid,0.9088457142272709,1.2237932983212594,2.479934185589483,2.9292232307728328,0,1.0
NV,High_RE_Cost,v6.2jedi_low,4.188365912491373,Low_RE_Cost,v6.2jedi_low,0.3702622995045665,1.0606230952966633,1.5521077589156462,0.5372054219629041,0,1.0
UT,Low_NG_Price,v6.2jedi_high,0.8221923333501538,Low_RE_Cost,v6.2jedi_low,0.1948802340207588,0.16409306414228184,0.48626120678438817,0.43890386360510997,0,1.0
AZ,Low_RE_Cost,v6.2jedi_low,2.1666873941520737,Low_NG_Price,v6.2jedi_high,0.3780147621641636,0.45279383599084705,0.9836434962306749,0.7342010358278575,0,1.0
MT,High_NG_Price,v6.2jedi_mid,0.8612528052551965,Low_Nuclear_CCS_Cost,v6.2jedi_low,0.06975092248122672,0.25423885695811105,0.3580771755723029,0.08718257035325755,0,1.0
WY,High_RE_Cost,v6.2jedi_high,0.4046037149926356,Low_Everything,v6.2jedi_low,-0.19047506549160506,0.15843509394156594,0.14249871799391486,0.16044278938751702,1,0.8125
CO,Low_Trans,v6.2jedi_low,0.4922044427237044,High_NG_Price,v6.2jedi_low,0.11839605030279395,0.08943529540617151,0.26706115012108306,0.29768778690839465,0,1.0
NM,Electrification_EnhancedFlex,v6.2jedi_low,0.4996093238701346,High_Trans,v6.2jedi_high,-0.035481637838833444,0.1579533294003076,0.19567065104774153,0.1855685088162066,1,0.8958333333333334
ND,High_RE_Cost,v6.2jedi_low,0.624036863520115,Low_Everything,v6.2jedi_high,-0.14664795719753795,0.23312008573563262,0.1952831189244545,0.097716760528765,1,0.75
SD,Electrification_EnhancedFlex,v6.2jedi_low,6.250877305842844,Mid_Case_Base_Flex,v6.2jedi_low,0.5118887692507291,1.389035052156596,2.2964687164754247,2.3306190618268734,0,1.0
NE,High_RE_Cost,v6.2jedi_low,8.77907655784639,Low_Everything,v6.2jedi_low,1.5310845505333381,1.4450616143453163,2.921834337552983,3.9781432314073775,0,1.0
