Project,Scenario,Dollar_year
Standard_scenarios_2021,Mid_Case,2019$
state,country,t,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,Million Metric Tons,MWh
state,country,t,battery-10h_MW,battery-2h_MW,battery-4h_MW,battery-6h_MW,battery-8h_MW,biopower ccs_MW,biopower_MW,coal_MW,csp_MW,dac_MW,geothermal_MW,h2-ct_MW,hydro_MW,land-based wind_MW,ng-cc-ccs_MW,ng-cc_MW,ng-ct_MW,nuclear_MW,offshore wind_MW,oil-gas-steam_MW,pumped storage_MW,pv+battery_MW,rooftop pv_MW,utility pv_MW,biopower ccs_MWh,biopower_MWh,coal_MWh,csp_MWh,dac_MWh,geothermal_MWh,h2-ct_MWh,hydro_MWh,imports_MWh,land-based wind_MWh,ng-cc-ccs_MWh,ng-cc_MWh,ng-ct_MWh,nuclear_MWh,offshore wind_MWh,oil-gas-steam_MWh,pv+battery_MWh,rooftop pv_MWh,utility pv_MWh,biopower ccs_gen_frac,biopower_gen_frac,coal_gen_frac,csp_gen_frac,dac_gen_frac,geothermal_gen_frac,h2-ct_gen_frac,hydro_gen_frac,imports_gen_frac,land-based wind_gen_frac,ng-cc-ccs_gen_frac,ng-cc_gen_frac,ng-ct_gen_frac,nuclear_gen_frac,offshore wind_gen_frac,oil-gas-steam_gen_frac,pv+battery_gen_frac,rooftop pv_gen_frac,utility pv_gen_frac,co2_gen_mmt,generation_MWh
AL,usa,2022,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4730.3,0.0,0.0,0.0,0.0,3043.0,0.0,0.0,9663.5,2255.0,5525.4,0.0,1745.1,0.0,0.0,27.545454545454604,601.0999999999998,0.0,0.0,33547877.94144,0.0,0.0,0.0,0.0,8202553.94080579,0.0,0.0,0.0,35550111.48382363,4659308.64856642,44133880.54176,0.0,1508856.07296,0.0,41668.798466,932737.241898525,0.0,0.0,0.2609166439736397,0.0,0.0,0.0,0.0,0.0637948799618154,0.0,0.0,0.0,0.2764888973734553,0.0362374984773514,0.3432486554467075,0.0,0.0117350392022759,0.0,0.0003240766248506,0.0072543089399038,52.5564639501526,128576994.66972037
AR,usa,2022,0.0,20.0,0.0,0.0,0.0,0.0,8.0,5163.4,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,4609.8,715.6,1817.8,0.0,795.8,28.0,0.0,30.8181818181818,397.2,0.0,0.0,25037798.1908044,0.0,0.0,0.0,0.0,3068094.957408,0.0,0.0,0.0,8578357.44350461,213440.45,14519594.608320003,0.0,40276.60032,0.0,45351.68307969551,696560.3175136307,0.0,0.0,0.4796561373479459,0.0,0.0,0.0,0.0,0.0587763574525301,0.0,0.0,0.0,0.1643380046753715,0.0040889386926366,0.2781559549530456,0.0,0.000771590152927,0.0,0.0008688149398146,0.0133442017857287,28.54133740685,52199474.25095034
AZ,usa,2022,0.0,1080.02975,0.0,0.0,0.0,0.0,25.9,2949.0,302.4000000000001,0.0,0.0,0.0,2170.0,617.3,0.0,9886.1,3031.608243518128,3937.0,0.0,1175.0,216.3,0.0,1438.999999999997,2860.2,0.0,8838.648000000001,20636355.1573327,1745547.6349364475,0.0,0.0,0.0,6749068.615966335,0.0,1528502.4488695029,0.0,13080477.97189474,2785908.74557396,31446607.9728,0.0,873151.7184000011,0.0,2726478.6350970003,7415604.779163645,0.0,9.931451007862118e-05,0.2318781675951937,0.019613656769973,0.0,0.0,0.0,0.0758351778554473,0.0,0.017174852066,0.0,0.1469773727127635,0.0313035616069815,0.3533464014465894,0.0,0.0098110746278392,0.0,0.030635781613261,0.0833246391958723,29.94496058537432,88996542.32803433
CA,usa,2022,0.0,0.0,2680.8,0.0,0.0,0.0,602.1,0.0,965.547,0.0,2120.4,0.0,10213.7,6341.0,0.0,19723.7,13493.77488694052,2240.0,0.0,5284.700000000002,3807.1,0.0,11933.545454545452,15382.5,0.0,300695.76,0.0,2662630.41112992,0.0,14000674.44048,0.0,31624955.521558803,0.0,14229062.865055332,0.0,80836052.55488081,7098483.32993466,17891897.856,0.0,3849608.70144,0.0,20761804.459312,41628578.0031824,0.0,0.0012801859288911,0.0,0.0113359163633237,0.0,0.0596066483068729,0.0,0.1346404853214648,0.0,0.0605789920720891,0.0,0.3441524317731002,0.0302211726412452,0.0761731920543481,0.0,0.0163893727378139,0.0,0.0883915686978754,0.177230034102975,37.81116256907949,234884443.90297395
CO,usa,2022,0.0,462.0,0.0,0.0,0.0,0.0,22.4,3804.0,30.0,0.0,0.0,0.0,672.21,4992.3,0.0,3221.6,2769.5,0.0,0.0,572.6,562.5,0.0,645.636363636364,1434.9,0.0,11773.44,23104711.82597127,82729.1808,0.0,0.0,0.0,1711482.5482656,0.0,14976785.30893952,0.0,5843208.309801188,1323148.1656,0.0,0.0,331737.66432000004,0.0,1105159.496898,3718717.448977082,0.0,0.0002255039889452,0.4425388569684925,0.0015845632434168,0.0,0.0,0.0,0.0327810853619743,0.0,0.286859645842044,0.0,0.1119185881185303,0.0253430763913008,0.0,0.0,0.0063539769674404,0.0,0.021167804394572,0.0712268987232834,26.85914875558628,52209453.389572665
CT,usa,2022,0.0,3.2,57.9170271091844,0.0,0.0,0.0,63.5,0.0,0.0,0.0,0.0,0.0,124.0,462.6963,0.0,3949.1,1123.6,2073.1,0.0,2397.6,29.4,0.0,635.5454545454551,315.688244845241,0.0,276207.75,0.0,0.0,0.0,0.0,0.0,477671.070096,0.0,1192556.631133844,0.0,27457341.2104122,808873.391826947,16558791.71664,0.0,739624.8422399998,0.0,870101.013515,618109.8738828449,0.0,0.0056369759738075,0.0,0.0,0.0,0.0,0.0,0.0097485329268062,0.0,0.024338249296431,0.0,0.5603621647391447,0.0165078636482165,0.3379395077146914,0.0,0.0150946071040296,0.0,0.0177574253726393,0.0126146732242335,10.966741038883,48999277.49974684
DE,usa,2022,0.0,0.0,6.20766745345494,14.5542630053507,0.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,28.5282,0.0,1504.0,186.4,0.0,0.0,863.0,0.0,27.0649142808746,127.636363636364,333.846131694381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53112.9996009346,0.0,2114532.144,195362.56,0.0,0.0,45768.864,40181.126931813,185110.669224,595779.8872582406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164444257045957,0.0,0.6546846723636327,0.0604866064337873,0.0,0.0,0.0141705926851569,0.0124405618496738,0.0573124973180484,0.1844606436451047,0.895183835176,3229848.2510149884
FL,usa,2022,0.0,856.0,0.0,0.0,0.0,0.0,221.1,7126.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,33978.0,8543.8,3626.0,0.0,3847.4,0.0,0.0,1075.9090909090908,4468.4000000000015,0.0,116210.16,41665570.45231254,0.0,0.0,0.0,0.0,201578.50548,0.0,0.0,0.0,123980205.37029736,4484314.08,28962509.6544,0.0,4245330.49056,0.0,1715075.25832,9916277.181222817,0.0,0.0005397916343877,0.1935349402509197,0.0,0.0,0.0,0.0,0.0009363242502245,0.0,0.0,0.0,0.5758831903213629,0.0208294629862913,0.1345297211734175,0.0,0.0197193935884378,0.0,0.0079664572941511,0.0460607185008071,94.07990185227824,215287071.15259272
GA,usa,2022,0.0,167.4,0.0,0.0,0.0,0.0,240.4,8416.0,0.0,0.0,0.0,0.0,2275.0,0.0,0.0,8009.5,7729.7,6261.0,0.0,1049.4,1863.403,0.0,74.0909090909091,2779.0,0.0,126354.24,50026096.7799791,0.0,0.0,0.0,0.0,3383898.936912,0.0,0.0,0.0,26153999.3113058,234132.87143357896,50009451.9984,0.0,221063.61312,0.0,112170.18595,5590869.647632897,0.0,0.0009300461146525,0.3682233136098281,0.0,0.0,0.0,0.0,0.0249076094213527,0.0,0.0,0.0,0.1925097681099199,0.0017233641497843,0.368100797622736,0.0,0.0016271662468414,0.0,0.0008256426188994,0.0411522921059854,62.1724901557541,135858037.5847334
