Project,Scenario,Dollar_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_scenarios_2021,Mid_Case,2019$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,country,t,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,generation fraction,Million Metric Tons,MWh
state,country,t,battery-10h_MW,battery-2h_MW,battery-4h_MW,battery-6h_MW,battery-8h_MW,biopower ccs_MW,biopower_MW,coal_MW,csp_MW,dac_MW,geothermal_MW,h2-ct_MW,hydro_MW,land-based wind_MW,ng-cc-ccs_MW,ng-cc_MW,ng-ct_MW,nuclear_MW,offshore wind_MW,oil-gas-steam_MW,pumped storage_MW,pv+battery_MW,rooftop pv_MW,utility pv_MW,biopower ccs_MWh,biopower_MWh,coal_MWh,csp_MWh,dac_MWh,geothermal_MWh,h2-ct_MWh,hydro_MWh,imports_MWh,land-based wind_MWh,ng-cc-ccs_MWh,ng-cc_MWh,ng-ct_MWh,nuclear_MWh,offshore wind_MWh,oil-gas-steam_MWh,pv+battery_MWh,rooftop pv_MWh,utility pv_MWh,biopower ccs_gen_frac,biopower_gen_frac,coal_gen_frac,csp_gen_frac,dac_gen_frac,geothermal_gen_frac,h2-ct_gen_frac,hydro_gen_frac,imports_gen_frac,land-based wind_gen_frac,ng-cc-ccs_gen_frac,ng-cc_gen_frac,ng-ct_gen_frac,nuclear_gen_frac,offshore wind_gen_frac,oil-gas-steam_gen_frac,pv+battery_gen_frac,rooftop pv_gen_frac,utility pv_gen_frac,co2_gen_mmt,generation_MWh
AL,usa,2022,0,2,0,0,0,0,0,4730.3,0,0,0,0,3043,0,0,9663.5,2255,5525.4,0,1745.1,0,0,27.54545455,601.1,0,0,33547877.94,0,0,0,0,8202553.941,0,0,0,35550111.48,4659308.649,44133880.54,0,1508856.073,0,41668.79847,932737.2419,0,0,0.260916644,0,0,0,0,0.06379488,0,0,0,0.276488897,0.036237498,0.343248655,0,0.011735039,0,0.000324077,0.007254309,,128576994.7
AR,usa,2022,0,20,0,0,0,0,8,5163.4,0,0,0,0,1355,0,0,4609.8,715.6,1817.8,0,795.8,28,0,30.81818182,397.2,0,0,25037798.19,0,0,0,0,3068094.957,0,0,0,8578357.444,213440.45,14519594.61,0,40276.60032,0,45351.68308,696560.3175,0,0,0.479656137,0,0,0,0,0.058776357,0,0,0,0.164338005,0.004088939,0.278155955,0,0.00077159,0,0.000868815,0.013344202,,52199474.25
AZ,usa,2022,0,1080.02975,0,0,0,0,25.9,2949,302.4,0,0,0,2170,617.3,0,9886.1,3031.608244,3937,0,1175,216.3,0,1439,2860.2,0,8838.648,20636355.16,1745547.635,0,0,0,6749068.616,0,1528502.449,0,13080477.97,2785908.746,31446607.97,0,873151.7184,0,2726478.635,7415604.779,0,9.93E-05,0.231878168,0.019613657,0,0,0,0.075835178,0,0.017174852,0,0.146977373,0.031303562,0.353346401,0,0.009811075,0,0.030635782,0.083324639,,88996542.33
CA,usa,2022,0,0,2680.8,0,0,0,602.1,0,965.547,0,2120.4,0,10213.7,6341,0,19723.7,13493.77489,2240,0,5284.7,3807.1,0,11933.54545,15382.5,0,300695.76,0,2662630.411,0,14000674.44,0,31624955.52,0,14229062.87,0,80836052.55,7098483.33,17891897.86,0,3849608.701,0,20761804.46,41628578,0,0.001280186,0,0.011335916,0,0.059606648,0,0.134640485,0,0.060578992,0,0.344152432,0.030221173,0.076173192,0,0.016389373,0,0.088391569,0.177230034,,234884443.9
CO,usa,2022,0,462,0,0,0,0,22.4,3804,30,0,0,0,672.21,4992.3,0,3221.6,2769.5,0,0,572.6,562.5,0,645.6363636,1434.9,0,11773.44,23104711.83,82729.1808,0,0,0,1711482.548,0,14976785.31,0,5843208.31,1323148.166,0,0,331737.6643,0,1105159.497,3718717.449,0,0.000225504,0.442538857,0.001584563,0,0,0,0.032781085,0,0.286859646,0,0.111918588,0.025343076,0,0,0.006353977,0,0.021167804,0.071226899,,52209453.39
CT,usa,2022,0,3.2,57.91702711,0,0,0,63.5,0,0,0,0,0,124,462.6963,0,3949.1,1123.6,2073.1,0,2397.6,29.4,0,635.5454545,315.6882448,0,276207.75,0,0,0,0,0,477671.0701,0,1192556.631,0,27457341.21,808873.3918,16558791.72,0,739624.8422,0,870101.0135,618109.8739,0,0.005636976,0,0,0,0,0,0.009748533,0,0.024338249,0,0.560362165,0.016507864,0.337939508,0,0.015094607,0,0.017757425,0.012614673,,48999277.5
DE,usa,2022,0,0,6.207667453,14.55426301,0,0,0,410,0,0,0,0,0,28.5282,0,1504,186.4,0,0,863,0,27.06491428,127.6363636,333.8461317,0,0,0,0,0,0,0,0,0,53112.9996,0,2114532.144,195362.56,0,0,45768.864,40181.12693,185110.6692,595779.8873,0,0,0,0,0,0,0,0,0,0.016444426,0,0.654684672,0.060486606,0,0,0.014170593,0.012440562,0.057312497,0.184460644,,3229848.251
FL,usa,2022,0,856,0,0,0,0,221.1,7126,0,0,0,0,55,0,0,33978,8543.8,3626,0,3847.4,0,0,1075.909091,4468.4,0,116210.16,41665570.45,0,0,0,0,201578.5055,0,0,0,123980205.4,4484314.08,28962509.65,0,4245330.491,0,1715075.258,9916277.181,0,0.000539792,0.19353494,0,0,0,0,0.000936324,0,0,0,0.57588319,0.020829463,0.134529721,0,0.019719394,0,0.007966457,0.046060719,,215287071.2
GA,usa,2022,0,167.4,0,0,0,0,240.4,8416,0,0,0,0,2275,0,0,8009.5,7729.7,6261,0,1049.4,1863.403,0,74.09090909,2779,0,126354.24,50026096.78,0,0,0,0,3383898.937,0,0,0,26153999.31,234132.8714,50009452,0,221063.6131,0,112170.186,5590869.648,0,0.000930046,0.368223314,0,0,0,0,0.024907609,0,0,0,0.192509768,0.001723364,0.368100798,0,0.001627166,0,0.000825643,0.041152292,,135858037.6
