"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2020&sourcekey=0"
"Tue Apr 12 2022 16:56:31 GMT+0100 (British Summer Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Residential,,3-AEO2020.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Residential: Propane": Reference case,3-AEO2020.3.ref2020-d112119a,"2019 $/MMBtu",21.367119,21.103409,21.466442,22.180439,22.881109,23.650236,24.626657,25.687712,26.536884,27.189859,27.645981,28.038425,28.190807,28.350666,28.671799,29.00379,29.368948,29.780022,30.231045,30.688625,31.133049,31.544138,31.930092,32.405441,32.846771,33.278614,33.706623,34.12421,34.599556,35.104355,35.563744,35.996456,"1.7%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,3-AEO2020.4.ref2020-d112119a,"2019 $/MMBtu",21.885006,21.296852,21.633049,22.205118,22.606241,23.274977,23.709663,24.074211,24.104382,24.444967,24.643778,24.759037,25.029266,25.196709,25.524443,25.735933,25.950191,26.194136,26.345205,26.555067,26.78067,26.790041,26.979055,27.345802,27.510275,27.707808,28.063734,28.108652,28.359882,28.629049,28.806082,28.939575,"0.9%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,3-AEO2020.5.ref2020-d112119a,"2019 $/MMBtu",10.40076,10.013341,10.139873,10.064783,10.026473,10.057588,10.188621,10.375728,10.54122,10.649031,10.705569,10.975032,10.975427,11.02053,11.159978,11.239524,11.27379,11.281422,11.354434,11.408001,11.447461,11.475216,11.520025,11.560247,11.598577,11.630268,11.690177,11.747246,11.822726,11.867517,11.937593,11.997739,"0.5%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,3-AEO2020.6.ref2020-d112119a,"2019 $/MMBtu",36.809517,36.328312,36.524483,36.565094,36.77327,37.156204,37.687702,38.173763,38.425705,38.378876,38.245457,38.274387,38.189896,38.099789,38.228615,38.282955,38.096138,37.990562,37.873898,37.909523,37.801682,37.635208,37.57143,37.458904,37.362671,37.349266,37.277393,37.163021,37.140564,37.02845,36.834682,36.683495,"-0.0%"
Commercial,,3-AEO2020.8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Commercial: Propane": Reference case,3-AEO2020.9.ref2020-d112119a,"2019 $/MMBtu",17.532707,16.461679,16.897226,17.642332,18.154827,18.709137,19.48735,20.253893,20.666298,20.915295,21.033928,21.178768,21.187819,21.270918,21.564543,21.812473,22.069616,22.360126,22.672346,22.966261,23.233778,23.463499,23.678507,24.019243,24.278933,24.533298,24.788464,25.033518,25.354244,25.684698,25.939331,26.177326,"1.3%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,3-AEO2020.10.ref2020-d112119a,"2019 $/MMBtu",21.969456,21.376654,20.734304,20.318745,19.736814,19.414501,18.841921,19.221987,19.257793,19.602175,19.805004,20.225742,20.496693,20.665499,21.058674,21.268713,21.493673,21.746466,21.899796,22.113047,22.346645,22.361111,22.55529,22.929819,23.103239,23.299997,23.673317,23.71648,23.993053,24.261074,24.447094,24.596321,"0.4%"
Residual Fuel Oil,"Energy Prices: Commercial: Residual Fuel": Reference case,3-AEO2020.11.ref2020-d112119a,"2019 $/MMBtu",6.359512,3.619777,5.087158,6.295322,7.469472,8.749623,10.095472,10.090912,10.459769,10.387751,10.830751,10.981043,11.299893,11.404179,11.657706,11.757784,12.003828,12.225603,12.361254,12.551183,12.845353,13.172822,13.485004,13.692395,13.907762,14.059457,14.141888,14.47915,14.518565,14.680243,14.886027,15.222129,"2.9%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,3-AEO2020.12.ref2020-d112119a,"2019 $/MMBtu",7.515265,7.15601,7.302592,7.322556,7.375051,7.498715,7.719114,7.864563,7.989774,8.060304,8.084855,8.253708,8.219889,8.238519,8.343185,8.398459,8.411119,8.399799,8.451629,8.486262,8.508047,8.520494,8.549653,8.575176,8.598577,8.61531,8.659641,8.701561,8.761276,8.791295,8.845155,8.890513,"0.5%"
Electricity,"Energy Prices: Commercial: Electricity": Reference case,3-AEO2020.13.ref2020-d112119a,"2019 $/MMBtu",30.830906,30.223993,29.923038,29.868093,29.843609,30.006659,30.440975,30.80529,30.944893,30.75252,30.491638,30.434599,30.253323,30.004961,30.090971,30.068455,29.834833,29.698431,29.542187,29.58918,29.462006,29.240297,29.175716,29.095675,28.940348,28.91678,28.819708,28.688568,28.681221,28.564234,28.388195,28.271893,"-0.3%"
Industrial,,3-AEO2020.15.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Industrial: Propane": Reference case,3-AEO2020.16.ref2020-d112119a,"2019 $/MMBtu",12.658596,11.557613,12.121316,12.897453,13.37606,13.920742,14.718675,15.490639,15.865518,16.092716,16.194342,16.112474,16.127193,16.2225,16.518353,16.775681,17.043198,17.349249,17.678316,17.984577,18.26259,18.50012,18.725389,19.102764,19.37224,19.642893,19.91711,20.180212,20.536682,20.898357,21.166986,21.424034,"1.7%"
Distillate Fuel Oil,"Energy Prices: Industrial: Distillate Fuel Oil": Reference case,3-AEO2020.17.ref2020-d112119a,"2019 $/MMBtu",21.893784,21.301304,20.683617,20.286152,19.724686,19.419933,18.849424,19.250404,19.300062,19.647911,19.861506,19.985909,20.263889,20.439947,20.797567,21.008881,21.241524,21.495619,21.654123,21.868317,22.103235,22.121178,22.315123,22.694962,22.86813,23.072498,23.45475,23.488489,23.768089,24.02384,24.207714,24.368834,"0.3%"
Residual Fuel Oil,"Energy Prices: Industrial: Residual Fuel Oil": Reference case,3-AEO2020.18.ref2020-d112119a,"2019 $/MMBtu",6.483411,3.618051,5.26756,6.978014,8.560504,10.318695,12.019481,11.988135,12.446024,12.287184,12.740126,12.94039,13.283211,13.363053,13.599288,13.670406,13.914327,14.140805,14.34101,14.5328,14.830558,15.179667,15.474697,15.701387,15.907579,16.065977,16.153669,16.481852,16.52821,16.694122,16.899334,17.211279,"3.2%"
Natural Gas,"Energy Prices: Industrial: Natural Gas": Reference case,3-AEO2020.19.ref2020-d112119a,"2019 $/MMBtu",3.601216,3.441677,3.535549,3.471598,3.486336,3.563946,3.76343,3.989637,4.137623,4.220512,4.228387,4.164311,4.119952,4.135337,4.195072,4.240937,4.238475,4.22864,4.267293,4.290952,4.297682,4.299946,4.29982,4.316083,4.330016,4.34361,4.366872,4.405143,4.455194,4.487362,4.516387,4.566297,"0.8%"
Metallurgical Coal,"Energy Prices: Industrial: Metallurgical Coal": Reference case,3-AEO2020.20.ref2020-d112119a,"2019 $/MMBtu",4.135304,3.715267,3.476051,3.314668,3.226584,3.228791,3.233289,3.237639,3.26661,3.294532,3.334714,3.367346,3.405218,3.442147,3.475353,3.513103,3.546413,3.577275,3.610275,3.640216,3.675331,3.706488,3.746972,3.783088,3.822762,3.857581,3.895384,3.93132,3.97163,4.008956,4.049924,4.087855,"-0.0%"
Other Industrial Coal,"Energy Prices: Industrial: Other Industrial Coal": Reference case,3-AEO2020.21.ref2020-d112119a,"2019 $/MMBtu",2.601454,2.596052,2.634961,2.627628,2.630441,2.642195,2.654542,2.659601,2.679829,2.680771,2.691547,2.69928,2.706149,2.71278,2.718446,2.724037,2.727642,2.734547,2.744619,2.750355,2.759877,2.765894,2.778727,2.790967,2.800123,2.807263,2.819277,2.827075,2.837529,2.847289,2.858989,2.870793,"0.3%"
Coal to Liquids,"Energy Prices: Industrial: Coal to Liquids": Reference case,3-AEO2020.22.ref2020-d112119a,"2019 $/MMBtu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Electricity,"Energy Prices: Industrial: Electricity": Reference case,3-AEO2020.23.ref2020-d112119a,"2019 $/MMBtu",20.23842,19.763302,19.078611,19.031912,18.935066,19.001669,19.292677,19.511938,19.594936,19.511381,19.399519,19.262285,19.146181,19.055494,19.097113,19.100563,18.988369,18.915678,18.869473,18.88051,18.811026,18.707838,18.652531,18.589869,18.54471,18.515579,18.47155,18.434669,18.456047,18.431229,18.392054,18.375685,"-0.3%"
Transportation,,3-AEO2020.25.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Transportation: Propane": Reference case,3-AEO2020.26.ref2020-d112119a,"2019 $/MMBtu",16.634918,15.560149,16.020731,16.712646,17.151493,17.636644,18.329803,18.998629,19.332518,19.53301,19.624012,20.097502,20.105341,20.179995,20.495129,20.705454,20.923536,21.17337,21.440998,21.689045,21.912479,22.101877,22.279131,22.57345,22.785976,22.996429,23.208031,23.411003,23.683239,23.960798,24.16749,24.36318,"1.2%"
E85,"Energy Prices: Transportation: E85": Reference case,3-AEO2020.27.ref2020-d112119a,"2019 $/MMBtu",24.537947,24.243864,29.909515,28.426769,28.618099,28.520075,27.862692,27.936611,28.16201,28.425083,28.713608,30.057896,30.388205,30.54878,31.208534,31.695507,32.776066,32.66156,32.834831,33.766201,34.771797,35.608723,35.916092,37.47979,37.935295,38.346237,38.771313,39.264046,42.460052,43.544437,43.591911,43.892014,"1.9%"
Motor Gasoline,"Energy Prices: Transportation: Motor Gasoline": Reference case,3-AEO2020.28.ref2020-d112119a,"2019 $/MMBtu",22.170872,21.954424,21.978481,21.98358,21.894875,21.602947,21.847075,22.031654,22.300404,22.412121,22.707565,23.410488,23.573322,23.781666,24.204405,24.592258,24.848427,25.145552,25.222816,25.499111,25.84099,25.933037,26.118065,26.521101,26.736353,26.945976,27.292883,27.377739,27.854393,28.176065,28.421362,28.630436,"0.8%"
Jet Fuel,"Energy Prices: Transportation: Jet Fuel": Reference case,3-AEO2020.29.ref2020-d112119a,"2019 $/MMBtu",14.641048,14.44945,14.469915,14.677915,14.784328,15.181978,15.254274,15.71048,15.739541,16.214653,16.425371,16.66482,17.012842,17.18742,17.583839,17.868292,18.13835,18.383089,18.62429,18.83005,19.106794,19.197943,19.450199,19.834574,20.040815,20.276285,20.70055,20.752966,21.175344,21.518599,21.76668,21.858753,"1.3%"
