START,END,VAL,TON
Alabama,Alabama,1005,3959
Alabama,Indiana,136,591
Alabama,Kansas,2,5
Alabama,Kentucky,5,3
Alabama,Louisiana,6,29
Alabama,Maine,2,1
Alabama,Minnesota,7,31
Alabama,Missouri,9,23
Alabama,Montana,6,4
Alabama,New York,3,3
Alabama,Tennessee,60,141
Alabama,Texas,33,100
Alabama,Wyoming,8,5
Arizona,Arizona,1092,3246
Arizona,California,81,148
Arizona,Colorado,0,1
Arizona,Oregon,0,3
Arizona,Utah,7,15
Arkansas,Arkansas,1285,2437
Arkansas,Michigan,6,11
Arkansas,Mississippi,17,25
Arkansas,Ohio,3,5
Arkansas,Oklahoma,9,23
Arkansas,South Carolina,4,8
Arkansas,Tennessee,13,16
Arkansas,Texas,32,61
California,Arizona,977,383
California,California,14600,32733
California,Illinois,0,10
California,Nevada,0,263
California,New Mexico,9,9
California,Texas,97,152
California,Washington,128,66
California,Wyoming,0,1
Colorado,Arizona,51,103
Colorado,California,938,1451
Colorado,Kansas,57,87
Colorado,Missouri,71,154
Colorado,New Jersey,81,72
Colorado,New Mexico,127,295
Colorado,Ohio,19,52
Colorado,Texas,342,742
Connecticut,Connecticut,862,3009
Connecticut,Massachusetts,37,29
Connecticut,New York,137,72
Delaware,Delaware,95,299
Delaware,Maryland,38,55
Delaware,North Carolina,7,5
Delaware,Pennsylvania,51,90
Florida,Alabama,5,4
Florida,California,0,94
Florida,Colorado,22,18
Florida,Connecticut,30,25
Florida,Florida,2734,6378
Florida,Georgia,167,101
Florida,Maine,18,12
Florida,North Carolina,97,68
Florida,Ohio,84,61
Florida,Pennsylvania,104,66
Florida,South Carolina,0,8
Florida,Tennessee,0,5
Florida,Texas,98,75
Florida,Utah,0,13
Florida,Virginia,108,83
Georgia,Georgia,1273,8920
Georgia,Mississippi,0,5
Georgia,New Jersey,9,11
Georgia,Pennsylvania,0,5
Georgia,South Carolina,30,26
Georgia,Tennessee,0,22
Georgia,Virginia,0,3
Georgia,West Virginia,1,1
Hawaii,Hawaii,375,578
Idaho,Utah,1,2
Illinois,Arizona,0,3
Illinois,Arkansas,19,16
Illinois,Colorado,17,13
Illinois,Florida,0,56
Illinois,Illinois,15942,21016
Illinois,Indiana,152,221
Illinois,Louisiana,147,2031
Illinois,Minnesota,18,15
Illinois,Nebraska,7,6
Illinois,Pennsylvania,111,234
Illinois,South Dakota,14,15
Illinois,Texas,287,1052
Indiana,Arkansas,5,11
Indiana,Colorado,0,4
Indiana,Georgia,47,21
Indiana,Indiana,2751,7620
Indiana,Kentucky,142,384
Indiana,Massachusetts,0,1
Indiana,Minnesota,51,27
Indiana,Missouri,14,6
Indiana,Ohio,147,182
Indiana,Pennsylvania,70,81
Indiana,West Virginia,10,7
Indiana,Wisconsin,70,38
Iowa,Illinois,47,33
Iowa,Kansas,27,22
Iowa,Texas,68,101
Kansas,Alabama,8,2
Kansas,Arizona,19,8
Kansas,California,52,27
Kansas,Colorado,16,4
Kansas,Florida,17,3
Kansas,Georgia,34,7
Kansas,Illinois,60,20
Kansas,Kansas,1319,5796
Kansas,Louisiana,9,1
Kansas,Maryland,16,3
Kansas,Massachusetts,11,2
Kansas,Michigan,54,18
Kansas,Minnesota,4,1
Kansas,Mississippi,2,1
Kansas,Missouri,111,690
Kansas,New Hampshire,0,1
Kansas,New Jersey,33,6
Kansas,North Carolina,9,2
Kansas,Ohio,6,2
Kansas,Pennsylvania,8,2
Kansas,Texas,171,2795
Kansas,Utah,4,1
Kansas,Virginia,6,2
Kansas,Washington,10,2
Kansas,West Virginia,1,3
Kansas,Wyoming,8,14
Kansas,"Albany-Schenectady, NY CFS Area; New York",7,1
Kentucky,Arkansas,44,53
Kentucky,Connecticut,15,18
Kentucky,Illinois,105,188
Kentucky,Indiana,167,280
Kentucky,Iowa,60,69
Kentucky,Kentucky,3000,3843
Kentucky,Louisiana,548,2557
Kentucky,Michigan,229,148
Kentucky,Minnesota,35,40
Kentucky,Missouri,44,67
Kentucky,New Jersey,0,21
Kentucky,New York,39,57
Kentucky,North Carolina,382,759
Kentucky,Pennsylvania,86,107
Kentucky,Texas,22,25
Kentucky,Vermont,15,18
Kentucky,Virginia,68,229
Kentucky,West Virginia,286,559
Kentucky,Wisconsin,16,19
Louisiana,Arizona,29,12
Louisiana,Arkansas,32,14
Louisiana,Louisiana,7702,22246
Louisiana,Michigan,53,26
Louisiana,Mississippi,202,653
Louisiana,Missouri,0,8
Louisiana,South Carolina,138,120
Louisiana,Texas,5354,14096
Maine,Maine,774,1992
Maryland,District of Columbia,4,1
Maryland,Maryland,667,3014
Maryland,North Carolina,5,24
Maryland,Pennsylvania,20,35
Massachusetts,Massachusetts,1812,10024
Massachusetts,Vermont,4,7
Michigan,Alabama,45,47
Michigan,California,86,17
Michigan,Florida,0,1
