state,tech,scenario,value
AL,biopower,low,2.4
AL,biopower,mid,3.2
AL,biopower,high,4.0
AR,biopower,low,4.2
AR,biopower,mid,4.4
AR,biopower,high,4.6
AZ,biopower,low,3.1
AZ,biopower,mid,3.2
AZ,biopower,high,15.2
CA,biopower,low,1.4
CA,biopower,mid,2.8
CA,biopower,high,8.0
CO,biopower,low,3.2
CO,biopower,mid,3.2
CO,biopower,high,7.899999999999999
CT,biopower,low,12.55
CT,biopower,mid,22.7
CT,biopower,high,32.85
DE,biopower,low,5.0
DE,biopower,mid,5.0
DE,biopower,high,5.0
FL,biopower,low,4.0
FL,biopower,mid,6.4
FL,biopower,high,18.0
GA,biopower,low,5.2
GA,biopower,mid,7.300000000000001
GA,biopower,high,45.35
IA,biopower,low,2.5
IA,biopower,mid,4.0
IA,biopower,high,4.4
ID,biopower,low,1.9
ID,biopower,mid,2.7
ID,biopower,high,3.2
IL,biopower,low,3.2
IL,biopower,mid,3.3
IL,biopower,high,4.800000000000001
IN,biopower,low,3.2
IN,biopower,mid,3.2
IN,biopower,high,6.899999999999999
KS,biopower,low,4.1
KS,biopower,mid,4.6
KS,biopower,high,5.1
KY,biopower,low,1.6
KY,biopower,mid,2.4
KY,biopower,high,3.2
LA,biopower,low,2.7
LA,biopower,mid,4.0
LA,biopower,high,7.800000000000001
MA,biopower,low,2.15
MA,biopower,mid,3.25
MA,biopower,high,4.425000000000001
MD,biopower,low,2.3
MD,biopower,mid,3.0
MD,biopower,high,3.75
ME,biopower,low,2.95
ME,biopower,mid,5.85
ME,biopower,high,8.875
MI,biopower,low,3.2
MI,biopower,mid,4.0
MI,biopower,high,4.800000000000001
MN,biopower,low,2.4
MN,biopower,mid,3.2
MN,biopower,high,15.7
MO,biopower,low,3.0
MO,biopower,mid,3.0
MO,biopower,high,3.2
MS,biopower,low,1.6
MS,biopower,mid,1.6
MS,biopower,high,1.6
MT,biopower,low,1.6
MT,biopower,mid,1.6
MT,biopower,high,1.6
NC,biopower,low,1.675
NC,biopower,mid,3.25
NC,biopower,high,5.25
ND,biopower,low,2.7
ND,biopower,mid,4.0
ND,biopower,high,7.800000000000001
NE,biopower,low,5.2
NE,biopower,mid,5.6
NE,biopower,high,6.0
NH,biopower,low,8.8
NH,biopower,mid,16.0
NH,biopower,high,45.5
NJ,biopower,low,3.825
NJ,biopower,mid,7.2
NJ,biopower,high,9.6
NM,biopower,low,3.2
NM,biopower,mid,3.2
NM,biopower,high,3.2
NV,biopower,low,5.4
NV,biopower,mid,7.6
NV,biopower,high,9.8
NY,biopower,low,3.6
NY,biopower,mid,6.399999999999999
NY,biopower,high,6.4
OH,biopower,low,2.8
OH,biopower,mid,4.0
OH,biopower,high,8.8
OK,biopower,low,4.800000000000001
OK,biopower,mid,4.800000000000001
OK,biopower,high,4.800000000000001
OR,biopower,low,1.6
OR,biopower,mid,4.8
OR,biopower,high,4.800000000000001
PA,biopower,low,3.2
PA,biopower,mid,3.25
PA,biopower,high,8.3
RI,biopower,low,4.800000000000001
RI,biopower,mid,6.4
RI,biopower,high,21.05
SC,biopower,low,3.175
SC,biopower,mid,3.2
SC,biopower,high,13.6
SD,biopower,low,2.7
SD,biopower,mid,4.0
SD,biopower,high,7.800000000000001
TN,biopower,low,1.9
TN,biopower,mid,2.5
TN,biopower,high,3.45
TX,biopower,low,3.2
TX,biopower,mid,4.4
TX,biopower,high,9.6
UT,biopower,low,3.2
UT,biopower,mid,3.2
UT,biopower,high,4.0
VA,biopower,low,4.8
VA,biopower,mid,6.4
VA,biopower,high,13.2
VT,biopower,low,3.2
VT,biopower,mid,4.8
VT,biopower,high,6.4
WA,biopower,low,4.949999999999999
WA,biopower,mid,5.399999999999999
WA,biopower,high,15.7
WI,biopower,low,2.2
WI,biopower,mid,3.0
WI,biopower,high,6.399999999999999
WV,biopower,low,3.2
WV,biopower,mid,3.2
WV,biopower,high,3.2
WY,biopower,low,2.7
WY,biopower,mid,4.0
WY,biopower,high,7.800000000000001
AL,coal,low,391.85
AL,coal,mid,720.0
AL,coal,high,912.85
AR,coal,low,636.75
AR,coal,mid,664.5
AR,coal,high,692.25
AZ,coal,low,916.2
AZ,coal,mid,916.2
AZ,coal,high,916.2
CA,coal,low,391.85
CA,coal,mid,720.0
CA,coal,high,912.85
CO,coal,low,856.8
CO,coal,mid,856.8
CO,coal,high,856.8
CT,coal,low,391.85
CT,coal,mid,720.0
CT,coal,high,912.85
DE,coal,low,391.85
DE,coal,mid,720.0
DE,coal,high,912.85
FL,coal,low,391.85
FL,coal,mid,720.0
FL,coal,high,912.85
GA,coal,low,391.85
GA,coal,mid,720.0
GA,coal,high,912.85
IA,coal,low,922.5
IA,coal,mid,922.5
IA,coal,high,922.5
ID,coal,low,391.85
ID,coal,mid,720.0
ID,coal,high,912.85
IL,coal,low,614.075
IL,coal,mid,998.05
IL,coal,high,1382.025
IN,coal,low,804.5
IN,coal,mid,804.5
IN,coal,high,804.5
KS,coal,low,391.85
KS,coal,mid,720.0
KS,coal,high,912.85
KY,coal,low,702.5999999999999
KY,coal,mid,746.4
KY,coal,high,790.2
LA,coal,low,391.85
LA,coal,mid,720.0
LA,coal,high,912.85
MA,coal,low,391.85
MA,coal,mid,720.0
MA,coal,high,912.85
MD,coal,low,391.85
MD,coal,mid,720.0
MD,coal,high,912.85
ME,coal,low,391.85
ME,coal,mid,720.0
ME,coal,high,912.85
MI,coal,low,391.85
MI,coal,mid,720.0
MI,coal,high,912.85
MN,coal,low,391.85
MN,coal,mid,720.0
MN,coal,high,912.85
MO,coal,low,474.75
MO,coal,mid,649.5
MO,coal,high,824.25
MS,coal,low,513.7
MS,coal,mid,513.7
MS,coal,high,513.7
MT,coal,low,115.7
MT,coal,mid,115.7
MT,coal,high,115.7
NC,coal,low,909.5
NC,coal,mid,909.5
NC,coal,high,909.5
ND,coal,low,391.85
ND,coal,mid,720.0
ND,coal,high,912.85
NE,coal,low,370.5
NE,coal,mid,493.0
NE,coal,high,615.5
NH,coal,low,391.85
NH,coal,mid,720.0
NH,coal,high,912.85
NJ,coal,low,391.85
NJ,coal,mid,720.0
NJ,coal,high,912.85
NM,coal,low,391.85
NM,coal,mid,720.0
NM,coal,high,912.85
NV,coal,low,242.0
NV,coal,mid,242.0
NV,coal,high,242.0
NY,coal,low,391.85
NY,coal,mid,720.0
NY,coal,high,912.85
OH,coal,low,391.85
OH,coal,mid,720.0
OH,coal,high,912.85
OK,coal,low,391.85
