state,Agriculture,Construction,Electrical Equipment,FIRE,Fabricated Metals,Government,Machinery,Manufacturing,Mining,Misc. Services,Plant Employees,Professional Services,Retail Trade,TCPU,Wholesale Trade
AL,0,0,0,0,0,0,0,0,4.374205781958859e-05,0,0,0,0,4.3430273224950385e-05,3.4247335844149325e-06
AR,0,0,0,0,0,0,0,0,4.374205188000106e-05,0,0,0,0,4.057951569392091e-05,3.518124513757272e-06
AZ,0,0,0,0,0,0,0,0,4.3742054872863166e-05,0,0,0,0,4.2943283407648124e-05,3.386355206803098e-06
CA,0,0,0,0,0,0,0,0,4.374205452172073e-05,0,0,0,0,4.10718152305995e-05,3.4992806578661112e-06
CO,0,0,0,0,0,0,0,0,4.37420437416695e-05,0,0,0,0,4.190247930018204e-05,3.40378632090136e-06
CT,0,0,0,0,0,0,0,0,4.374206052809345e-05,0,0,0,0,4.3006895905816034e-05,3.6109559619533166e-06
DE,0,0,0,0,0,0,0,0,4.374206199135369e-05,0,0,0,0,4.3586156274261204e-05,3.587895253365546e-06
FL,0,0,0,0,0,0,0,0,4.374205240318015e-05,0,0,0,0,4.116971901196963e-05,3.3656820592745243e-06
GA,0,0,0,0,0,0,0,0,4.374206030046094e-05,0,0,0,0,4.178868335314977e-05,3.4705618419559167e-06
IA,0,0,0,0,0,0,0,0,4.374206083344606e-05,0,0,0,0,4.1064000634664805e-05,3.417678897374024e-06
ID,0,0,0,0,0,0,0,0,4.374205565106585e-05,0,0,0,0,3.956100945519655e-05,3.3006561467924078e-06
IL,0,0,0,0,0,0,0,0,4.3742058621931564e-05,0,0,0,0,3.956510189564275e-05,3.4884727148181784e-06
IN,0,0,0,0,0,0,0,0,4.3742059428376e-05,0,0,0,0,4.075908844065408e-05,3.43271700900677e-06
KS,0,0,0,0,0,0,0,0,4.374202946808685e-05,0,0,0,0,4.29146421875828e-05,3.462091379688215e-06
