state,Agriculture,Construction,Electrical Equipment,FIRE,Fabricated Metals,Government,Machinery,Manufacturing,Mining,Misc. Services,Plant Employees,Professional Services,Retail Trade,TCPU,Wholesale Trade
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.691939790325485e-05,0.0,0.0,0.0,0.0,8.72558195958227e-05,1.3265961347677952e-06
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.059733670493559e-05,0.0,0.0,0.0,0.0,0.00010086738505783373,1.1134721437518056e-06
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1047080678652075e-05,0.0,0.0,0.0,0.0,8.675374495836881e-05,1.2859496572401892e-06
CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.180291637617795e-05,0.0,0.0,0.0,0.0,0.00010308235246898813,1.1944026411213801e-06
CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0367488943925456e-05,0.0,0.0,0.0,0.0,9.393181120463292e-05,1.275836859128973e-06
CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.486940654101749e-05,0.0,0.0,0.0,0.0,0.00010272659134717078,1.1493695443809942e-06
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31672087243482e-05,0.0,0.0,0.0,0.0,8.806029432940001e-05,1.1052325652271762e-06
FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012840195552714495,0.0,0.0,0.0,0.0,0.00018333317677484196,2.453010928405778e-06
GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.583141199889274e-05,0.0,0.0,0.0,0.0,0.00010391826180552812,1.2980856840941912e-06
IA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.328745685432564e-05,0.0,0.0,0.0,0.0,0.0001259944902365943,1.6471924506907029e-06
ID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8692521739768434e-05,0.0,0.0,0.0,0.0,0.00010431280893480726,1.3932169733099672e-06
IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3925182167904184e-05,0.0,0.0,0.0,0.0,0.00011738110990726654,1.2568083188780639e-06
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83170261103517e-05,0.0,0.0,0.0,0.0,0.0001122244951539487,1.4193728412252413e-06
KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81563737289806e-05,0.0,0.0,0.0,0.0,8.596132041772431e-05,1.1971911445640064e-06
KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.814398244616957e-05,0.0,0.0,0.0,0.0,0.0001617656734721253,2.078051893659882e-06
LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.507571669062167e-05,0.0,0.0,0.0,0.0,8.723153306715058e-05,1.2253087698550881e-06
MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.414383866843382e-05,0.0,0.0,0.0,0.0,0.00011019724840550134,1.3183261840922644e-06
